heldout_site,mapping,missing_indicators,domain,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
Cleveland,isotonic,False,id_test,label_conditional,0.05,coverage,10,0.9849462365591398,0.01770478714728094,0.956989247311828,0.967741935483871,0.9946236559139785,1.0,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,avg_set_size,10,1.8107526881720433,0.17843559646419582,1.5376344086021505,1.6720430107526882,1.8763440860215055,1.9516129032258065,2.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,singleton_rate,10,0.18924731182795698,0.1784355964641958,0.0,0.04838709677419355,0.12365591397849462,0.32795698924731187,0.46236559139784944
Cleveland,isotonic,False,id_test,label_conditional,0.05,singleton_accuracy,9,0.9496648803018873,0.05106039563798866,0.8695652173913043,0.9090909090909091,0.9333333333333333,1.0,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,class0_coverage,10,0.9888888888888889,0.01942238607722504,0.9444444444444444,0.9791666666666666,1.0,1.0,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,class1_coverage,10,0.982456140350877,0.02188103734955523,0.9473684210526315,0.9692982456140351,0.9912280701754386,1.0,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,class0_avg_set_size,10,1.7055555555555557,0.28090828578127797,1.3333333333333333,1.4583333333333333,1.6944444444444444,2.0,2.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,class1_avg_set_size,10,1.8771929824561404,0.13863473205999644,1.6491228070175439,1.7763157894736843,1.9385964912280702,1.9780701754385963,2.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,class0_singleton_accuracy,6,0.9669612794612794,0.04381452612301562,0.8888888888888888,0.9554924242424243,0.9791666666666667,1.0,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,class1_singleton_accuracy,8,0.7097587719298246,0.44144325198812323,0.0,0.6375,0.9140350877192982,1.0,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.05,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,isotonic,False,id_test,label_conditional,0.1,coverage,10,0.9537634408602151,0.04535147982189716,0.8709677419354839,0.9139784946236559,0.978494623655914,0.9865591397849462,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.1,avg_set_size,10,1.5870967741935482,0.23597190063389592,1.1397849462365592,1.4327956989247312,1.6559139784946235,1.7688172043010753,1.8387096774193548
Cleveland,isotonic,False,id_test,label_conditional,0.1,singleton_rate,10,0.4129032258064516,0.23597190063389595,0.16129032258064516,0.23118279569892472,0.34408602150537637,0.5672043010752689,0.8602150537634409
Cleveland,isotonic,False,id_test,label_conditional,0.1,singleton_accuracy,10,0.9097931124508964,0.05218394618909455,0.8363636363636363,0.8639551192145862,0.9148550724637681,0.9458333333333333,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.1,class0_coverage,10,0.9666666666666666,0.05037581669902016,0.8611111111111112,0.9722222222222222,0.9861111111111112,1.0,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.1,class1_coverage,10,0.9456140350877194,0.049241016222271075,0.8596491228070176,0.9166666666666666,0.9649122807017544,0.9780701754385964,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.1,class0_avg_set_size,10,1.4666666666666668,0.2711556328551574,1.1388888888888888,1.2430555555555556,1.4722222222222223,1.5902777777777777,1.9722222222222223
Cleveland,isotonic,False,id_test,label_conditional,0.1,class1_avg_set_size,10,1.6631578947368422,0.2597965968632624,1.1403508771929824,1.5745614035087718,1.6403508771929824,1.8771929824561402,1.9824561403508771
Cleveland,isotonic,False,id_test,label_conditional,0.1,class0_singleton_accuracy,10,0.862251920122888,0.3090106987425576,0.0,0.8828571428571428,0.9833333333333334,1.0,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.1,class1_singleton_accuracy,10,0.727536541889483,0.2995789367034073,0.0,0.6699999999999999,0.8312324929971988,0.8961038961038961,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.1,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,isotonic,False,id_test,label_conditional,0.2,coverage,10,0.9010752688172043,0.04173742402296671,0.8602150537634409,0.8736559139784946,0.8870967741935484,0.9112903225806451,0.978494623655914
Cleveland,isotonic,False,id_test,label_conditional,0.2,avg_set_size,10,1.264516129032258,0.18790388812711975,1.10752688172043,1.1209677419354838,1.1881720430107527,1.3198924731182795,1.5913978494623655
Cleveland,isotonic,False,id_test,label_conditional,0.2,singleton_rate,10,0.7354838709677419,0.18790388812711975,0.40860215053763443,0.6801075268817204,0.8118279569892473,0.8790322580645161,0.8924731182795699
Cleveland,isotonic,False,id_test,label_conditional,0.2,singleton_accuracy,10,0.8715880694355953,0.04179844137001027,0.7936507936507936,0.8558689024390244,0.8703546580688952,0.8761574074074074,0.9473684210526315
Cleveland,isotonic,False,id_test,label_conditional,0.2,class0_coverage,10,0.9027777777777777,0.06313973007863821,0.8055555555555556,0.8680555555555556,0.8888888888888888,0.9583333333333333,1.0
Cleveland,isotonic,False,id_test,label_conditional,0.2,class1_coverage,10,0.9,0.05362927026016548,0.7894736842105263,0.8771929824561403,0.9035087719298245,0.9298245614035088,0.9824561403508771
