analysis_id,estimand,representation,horizon_day,domain,alpha,conformal_method,metric,n_repeats,mean,sd,min,q25,median,q75,max
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,label_conditional,singleton_accuracy,10,0.7304046479835954,0.21527680551210035,0.25,0.6466666666666667,0.7321428571428572,0.8295454545454546,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,label_conditional,class0_coverage,10,0.9595238095238094,0.04054615801411047,0.8809523809523809,0.9285714285714286,0.9761904761904762,0.9940476190476191,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,label_conditional,class1_coverage,10,0.8571428571428571,0.1543033499620919,0.5714285714285714,0.7321428571428572,0.8928571428571428,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,label_conditional,class0_avg_set_size,10,1.8023809523809522,0.1506055635668015,1.5714285714285714,1.6547619047619047,1.8571428571428572,1.9226190476190477,2.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,label_conditional,class1_avg_set_size,10,1.692857142857143,0.25874719975042204,1.2857142857142858,1.5178571428571428,1.7142857142857144,1.9285714285714286,2.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,label_conditional,class0_singleton_accuracy,9,0.7471984805318139,0.3038442838901003,0.0,0.7222222222222222,0.8,0.9333333333333333,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,label_conditional,class1_singleton_accuracy,9,0.6659611992945327,0.2884995535272655,0.3333333333333333,0.4,0.5714285714285714,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,coverage,10,0.9160714285714284,0.030409618510582843,0.875,0.8928571428571429,0.9196428571428572,0.9285714285714286,0.9821428571428571
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,avg_set_size,10,1.6339285714285712,0.1863865275220378,1.25,1.6116071428571428,1.6428571428571428,1.6607142857142858,1.8928571428571428
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,singleton_rate,10,0.3660714285714286,0.18638652752203783,0.10714285714285714,0.3392857142857143,0.35714285714285715,0.38839285714285715,0.75
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,ambiguous_rate,10,0.6339285714285715,0.18638652752203783,0.25,0.6116071428571428,0.6428571428571429,0.6607142857142857,0.8928571428571429
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
