analysis_id,estimand,representation,horizon_day,domain,desired_selection_rate,metric,n_repeats,mean,sd,min,q25,median,q75,max
AAA-J,landmark_still_registered,score_free,14,id_test,0.5,selection_rate,10,0.47857142857142854,0.07932538689979848,0.3392857142857143,0.42857142857142855,0.5,0.5178571428571429,0.5892857142857143
AAA-J,landmark_still_registered,score_free,14,id_test,0.5,selective_risk,10,0.21861497548263675,0.034921047205601956,0.1724137931034483,0.19688542825361513,0.212406015037594,0.2353896103896104,0.2857142857142857
AAA-J,landmark_still_registered,score_free,14,id_test,0.5,selective_accuracy,10,0.7813850245173632,0.03492104720560196,0.7142857142857143,0.7646103896103896,0.7875939849624061,0.8031145717463848,0.8275862068965517
AAA-J,landmark_still_registered,score_free,14,id_test,0.7,selection_rate,10,0.725,0.050647731871863444,0.6428571428571429,0.6964285714285714,0.7142857142857143,0.7633928571428572,0.8035714285714286
AAA-J,landmark_still_registered,score_free,14,id_test,0.7,selective_risk,10,0.1977812079801064,0.025716690056999107,0.16279069767441862,0.1787878787878788,0.19210526315789472,0.21794871794871795,0.23809523809523808
AAA-J,landmark_still_registered,score_free,14,id_test,0.7,selective_accuracy,10,0.8022187920198937,0.0257166900569991,0.7619047619047619,0.782051282051282,0.8078947368421052,0.8212121212121212,0.8372093023255813
AAA-J,landmark_still_registered,score_free,14,id_test,0.8,selection_rate,10,0.8125,0.06747490505211093,0.7321428571428571,0.7544642857142857,0.8125,0.8660714285714286,0.9107142857142857
AAA-J,landmark_still_registered,score_free,14,id_test,0.8,selective_risk,10,0.19713893772273833,0.025129425105379053,0.16279069767441862,0.17644006227296316,0.19560019129603062,0.21602040816326532,0.23404255319148937
AAA-J,landmark_still_registered,score_free,14,id_test,0.8,selective_accuracy,10,0.8028610622772616,0.02512942510537905,0.7659574468085106,0.7839795918367347,0.8043998087039694,0.8235599377270368,0.8372093023255813
AAA-J,landmark_still_registered,score_free,14,id_test,0.9,selection_rate,10,0.9267857142857144,0.038067326084094,0.8571428571428571,0.9107142857142857,0.9196428571428572,0.9598214285714286,0.9821428571428571
AAA-J,landmark_still_registered,score_free,14,id_test,0.9,selective_risk,10,0.22270174603831655,0.026392603859166835,0.1875,0.19705882352941176,0.22859216255442671,0.23609625668449197,0.25925925925925924
AAA-J,landmark_still_registered,score_free,14,id_test,0.9,selective_accuracy,10,0.7772982539616835,0.026392603859166867,0.7407407407407407,0.763903743315508,0.7714078374455733,0.8029411764705883,0.8125
AAA-J,landmark_still_registered,score_free,14,id_test,0.95,selection_rate,10,0.9589285714285714,0.03155323400166325,0.9107142857142857,0.9330357142857143,0.9553571428571428,0.9821428571428571,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.95,selective_risk,10,0.22858298399918825,0.025429755578081022,0.18867924528301888,0.20854499274310595,0.23636363636363636,0.25,0.25925925925925924
AAA-J,landmark_still_registered,score_free,14,id_test,0.95,selective_accuracy,10,0.7714170160008118,0.025429755578081047,0.7407407407407407,0.75,0.7636363636363637,0.7914550072568941,0.8113207547169812
AAA-J,landmark_still_registered,score_free,14,ood_test,0.5,selection_rate,10,0.47232704402515713,0.06966984108846867,0.330188679245283,0.42845911949685533,0.49528301886792453,0.514937106918239,0.5471698113207547
AAA-J,landmark_still_registered,score_free,14,ood_test,0.5,selective_risk,10,0.22468354427969808,0.03102840567856607,0.17177914110429449,0.20863741117726137,0.22465538847117794,0.23636414754835805,0.2893081761006289
AAA-J,landmark_still_registered,score_free,14,ood_test,0.5,selective_accuracy,10,0.7753164557203018,0.031028405678566056,0.7106918238993711,0.7636358524516419,0.7753446115288221,0.7913625888227387,0.8282208588957055
AAA-J,landmark_still_registered,score_free,14,ood_test,0.7,selection_rate,10,0.6852201257861635,0.05058561632713887,0.6069182389937107,0.6446540880503144,0.7028301886792452,0.7146226415094339,0.7610062893081762
AAA-J,landmark_still_registered,score_free,14,ood_test,0.7,selective_risk,10,0.24144810685555157,0.01897164844198216,0.22119815668202766,0.2294421674013353,0.2388340807174888,0.2446238826108956,0.28695652173913044
AAA-J,landmark_still_registered,score_free,14,ood_test,0.7,selective_accuracy,10,0.7585518931444484,0.018971648441982156,0.7130434782608696,0.7553761173891044,0.7611659192825112,0.7705578325986647,0.7788018433179723
AAA-J,landmark_still_registered,score_free,14,ood_test,0.8,selection_rate,10,0.7849056603773585,0.034230377881569546,0.7358490566037735,0.7672955974842768,0.7845911949685536,0.8081761006289309,0.8459119496855346
AAA-J,landmark_still_registered,score_free,14,ood_test,0.8,selective_risk,10,0.24275697864330104,0.014705196178287583,0.2222222222222222,0.23468447193613262,0.24266779037695374,0.2453220338983051,0.2786885245901639
AAA-J,landmark_still_registered,score_free,14,ood_test,0.8,selective_accuracy,10,0.757243021356699,0.014705196178287583,0.7213114754098361,0.7546779661016949,0.7573322096230463,0.7653155280638674,0.7777777777777778
AAA-J,landmark_still_registered,score_free,14,ood_test,0.9,selection_rate,10,0.8924528301886792,0.04522669064369927,0.789308176100629,0.8757861635220126,0.9056603773584906,0.9174528301886793,0.9465408805031447
AAA-J,landmark_still_registered,score_free,14,ood_test,0.9,selective_risk,10,0.2427764150155126,0.01531870047970428,0.2140221402214022,0.23517163231133437,0.24147151770521028,0.24996432139289282,0.2671232876712329
AAA-J,landmark_still_registered,score_free,14,ood_test,0.9,selective_accuracy,10,0.7572235849844874,0.01531870047970428,0.7328767123287672,0.7500356786071072,0.7585284822947898,0.7648283676886656,0.7859778597785978
AAA-J,landmark_still_registered,score_free,14,ood_test,0.95,selection_rate,10,0.9367924528301886,0.04353450255619683,0.8238993710691824,0.9394654088050315,0.949685534591195,0.9575471698113207,0.9779874213836478
AAA-J,landmark_still_registered,score_free,14,ood_test,0.95,selective_risk,10,0.2505172101343594,0.011604402862270173,0.2366412213740458,0.2429191777996746,0.2466776301168941,0.25577027156091814,0.2754098360655738
AAA-J,landmark_still_registered,score_free,14,ood_test,0.95,selective_accuracy,10,0.7494827898656407,0.011604402862270172,0.7245901639344262,0.7442297284390819,0.753322369883106,0.7570808222003255,0.7633587786259541
AAA-J,landmark_still_registered,score_free,56,id_test,0.5,selection_rate,10,0.5553571428571428,0.09276934188432509,0.44642857142857145,0.48660714285714285,0.5446428571428572,0.5982142857142857,0.75
AAA-J,landmark_still_registered,score_free,56,id_test,0.5,selective_risk,10,0.1842076252337163,0.06294363498615656,0.1111111111111111,0.14875565610859728,0.16993087557603687,0.18973214285714285,0.3333333333333333
