bin,left,right,n,weight,observed_rate,mean_probability,absolute_gap,heldout_site,repeat
9,0.9,1.0,45,45.0,0.9333333333333333,0.9489280982491928,0.015594764915859427,Cleveland,8
0,0.0,0.1,47,47.0,0.0425531914893617,0.05364701447228624,0.011093822982924537,Cleveland,9
1,0.1,0.2,24,24.0,0.20833333333333334,0.15149502962613506,0.05683830370719828,Cleveland,9
2,0.2,0.30000000000000004,20,20.0,0.3,0.24806739654843613,0.051932603451563863,Cleveland,9
3,0.30000000000000004,0.4,15,15.0,0.3333333333333333,0.3578536445720396,0.024520311238706294,Cleveland,9
4,0.4,0.5,21,21.0,0.0,0.4486986891932921,0.4486986891932921,Cleveland,9
5,0.5,0.6000000000000001,16,16.0,0.1875,0.5478919440185064,0.3603919440185064,Cleveland,9
6,0.6000000000000001,0.7000000000000001,13,13.0,0.46153846153846156,0.6560722708857712,0.19453380934730968,Cleveland,9
7,0.7000000000000001,0.8,21,21.0,0.42857142857142855,0.7529007026931215,0.32432927412169293,Cleveland,9
8,0.8,0.9,18,18.0,0.6111111111111112,0.8529303696310976,0.24181925851998642,Cleveland,9
9,0.9,1.0,108,108.0,0.8518518518518519,0.9790917122929069,0.12723986044105506,Cleveland,9
0,0.0,0.1,6,6.0,0.0,0.08080729622569413,0.08080729622569413,Hungary,0
1,0.1,0.2,43,43.0,0.09302325581395349,0.15408212398941368,0.06105886817546019,Hungary,0
2,0.2,0.30000000000000004,52,52.0,0.11538461538461539,0.2413547181894038,0.1259701028047884,Hungary,0
3,0.30000000000000004,0.4,48,48.0,0.16666666666666666,0.3469805118354213,0.18031384516875462,Hungary,0
4,0.4,0.5,17,17.0,0.23529411764705882,0.449899369104651,0.21460525145759218,Hungary,0
5,0.5,0.6000000000000001,21,21.0,0.14285714285714285,0.5571348617845546,0.4142777189274118,Hungary,0
6,0.6000000000000001,0.7000000000000001,21,21.0,0.5238095238095238,0.6544619019247799,0.1306523781152561,Hungary,0
7,0.7000000000000001,0.8,19,19.0,0.5263157894736842,0.7524963118392696,0.2261805223655854,Hungary,0
