horizon_day,domain,conformal_method,aggregation,metric,n_repeats,mean,sd,min,q25,median,q75,max
14,id_test,label_conditional,equal_pair,coverage,10,0.9052576127954011,0.012585261498360428,0.8871066050103343,0.8974642292120418,0.9045969692260463,0.9075958862502034,0.9329860116273065
14,id_test,label_conditional,equal_pair,avg_set_size,10,1.6002003064280856,0.03017522685790669,1.559580085425419,1.5821492229466738,1.5932407204761367,1.60738317719687,1.6650496610715442
14,id_test,label_conditional,equal_pair,singleton_rate,10,0.39979969357191464,0.03017522685790664,0.33495033892845594,0.39261682280312993,0.4067592795238632,0.4178507770533262,0.4404199145745812
14,id_test,label_conditional,equal_pair,class0_coverage,10,0.9141143170984292,0.01845287342453445,0.8848430603427798,0.9038602135167568,0.9122673376480166,0.9282930197563034,0.9437556566048877
14,id_test,label_conditional,equal_pair,class1_coverage,10,0.8890943162418236,0.019357856569083676,0.8571539340248611,0.8802769558020749,0.8916002184240699,0.8996495507089571,0.9190312302460105
14,id_test,label_conditional,equal_pair,class0_avg_set_size,10,1.6258835234234295,0.029275166919003084,1.601100932409412,1.6044398859450406,1.6154115417744506,1.6397550956004285,1.6900898381445453
14,id_test,label_conditional,equal_pair,class1_avg_set_size,10,1.5687789096091236,0.040653489903475996,1.508078036618921,1.5494309209668569,1.5536381340362586,1.5973772521070029,1.6468932803135528
14,id_test,label_conditional,equal_pair,class0_singleton_accuracy,9,0.7484522495272911,0.05408679588190947,0.6660595175698473,0.7329592310508632,0.7462084591940309,0.7932038825481449,0.8183610423686923
14,id_test,label_conditional,equal_pair,class1_singleton_accuracy,9,0.7403410412546437,0.04546093627190285,0.6799130933285888,0.7065880989972659,0.7599449126793567,0.7729668122128174,0.7993499534205255
14,id_test,label_conditional,size_weighted,coverage,10,0.9030218216678871,0.009850654927334536,0.8894252538108597,0.8964737898178095,0.9028958681465913,0.9058129154979271,0.9235242122143604
