domain_family,condition,model,domain,prevalence_mean,prevalence_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,selection_rate_080_mean,selection_rate_080_std,selective_risk_080_mean,selective_risk_080_std,marginal_coverage_090_mean,marginal_coverage_090_std,marginal_avg_set_size_090_mean,marginal_avg_set_size_090_std,marginal_worst_class_coverage_090_mean,marginal_worst_class_coverage_090_std,lc_coverage_090_mean,lc_coverage_090_std,lc_avg_set_size_090_mean,lc_avg_set_size_090_std,lc_worst_class_coverage_090_mean,lc_worst_class_coverage_090_std
ACS,cpi_constant_2018usd,lightgbm,id_test,0.3844326127444545,0.0023012165427017946,0.887549927454591,0.002243218424123174,0.13190870377140618,0.001407559521674108,0.40814689002561744,0.00375320376937492,0.01318062497062028,0.001232054762836874,0.8006463123758782,0.006089764814624423,0.1328197600329195,0.0035383740555959774,0.9005913970271944,0.004016651341043764,1.2193870752942348,0.008851926109321458,0.8565107689039515,0.006743126892959683,0.9022427153519763,0.0036742792553727988,1.227913483625284,0.00940988780597119,0.883316716644781,0.00818941457483164
ACS,cpi_constant_2018usd,lightgbm,ood_test,0.3958102210242129,0.0,0.8766114466581229,0.0003916160725498557,0.1396795240501421,0.00021517595133671097,0.42889579431514135,0.0006511201422017965,0.015243617763539542,0.002063067993957362,0.7929872695744717,0.005168679674322499,0.14461108565256117,0.0016959669409381353,0.8924860494696041,0.0033158544169744654,1.2275204195805418,0.009581584243167114,0.8619711832020679,0.005075785935022661,0.8923935773109631,0.003334996276900106,1.233842659547294,0.00955189858903736,0.8875350094953101,0.004950469585374548
ACS,cpi_constant_2018usd,logistic_regression,id_test,0.3844326127444545,0.0023012165427017946,0.8831883832913151,0.0034729683708649445,0.13415944371105376,0.0020614527052400045,0.4166031294879275,0.005700027579281269,0.01344212582472297,0.003099102703030429,0.7999292843261678,0.005913575872942515,0.13536063212016897,0.003983353734799399,0.9008008087645301,0.0034921226004979615,1.226953559987819,0.007426817610141327,0.8543241707264289,0.006426940966254251,0.9011217277625878,0.0034058025720256502,1.2338368091488747,0.008615673225854227,0.8807244424777254,0.007297114568760258
ACS,cpi_constant_2018usd,logistic_regression,ood_test,0.3958102210242129,0.0,0.8746706898505462,0.00039104069068925297,0.14026553591163277,0.0002097180063508685,0.4335705514432462,0.000638441020494115,0.01361435236660373,0.002170530774024814,0.7908111606243646,0.0069327216290576525,0.14367379161574503,0.001955200409466086,0.8958209110858188,0.003209227081666547,1.2369629447456345,0.009599025723925078,0.8655176084578468,0.004390187786420941,0.8950029275765206,0.003082806806549011,1.2423196533469332,0.009660905676679871,0.8900836046279508,0.005515442187621003
ACS,survey_year_adjusted_50000,lightgbm,id_test,0.3844326127444545,0.0023012165427017946,0.887549927454591,0.002243218424123174,0.13190870377140618,0.001407559521674108,0.40814689002561744,0.00375320376937492,0.01318062497062028,0.001232054762836874,0.8006463123758782,0.006089764814624423,0.1328197600329195,0.0035383740555959774,0.9005913970271944,0.004016651341043764,1.2193870752942348,0.008851926109321458,0.8565107689039515,0.006743126892959683,0.9022427153519763,0.0036742792553727988,1.227913483625284,0.00940988780597119,0.883316716644781,0.00818941457483164
ACS,survey_year_adjusted_50000,lightgbm,ood_test,0.5095089660859984,0.0,0.8769568207310312,0.00038798349472435507,0.1563472022991569,0.0008524846431642782,0.47889634990842495,0.002653113879763584,0.10341607868107812,0.0027323014782647884,0.7929872695744717,0.005168679674322499,0.1720135964865234,0.002193648290225546,0.8710173300277079,0.003872347594389649,1.2275204195805418,0.009581584243167114,0.802679495815435,0.006202328826179155,0.8815073687032255,0.003878739301597743,1.233842659547294,0.00955189858903736,0.8346267755721032,0.006672429792767849
ACS,survey_year_adjusted_50000,logistic_regression,id_test,0.3844326127444545,0.0023012165427017946,0.8831883832913151,0.0034729683708649445,0.13415944371105376,0.0020614527052400045,0.4166031294879275,0.005700027579281269,0.01344212582472297,0.003099102703030429,0.7999292843261678,0.005913575872942515,0.13536063212016897,0.003983353734799399,0.9008008087645301,0.0034921226004979615,1.226953559987819,0.007426817610141327,0.8543241707264289,0.006426940966254251,0.9011217277625878,0.0034058025720256502,1.2338368091488747,0.008615673225854227,0.8807244424777254,0.007297114568760258
ACS,survey_year_adjusted_50000,logistic_regression,ood_test,0.5095089660859984,0.0,0.8723444445948358,0.0003104153161730977,0.15818311034281018,0.0007361776508604111,0.4853047906309704,0.0024951164122865702,0.10166411947561227,0.0021094206362196255,0.7908111606243646,0.0069327216290576525,0.17448236923148458,0.0025690027862019112,0.8719504786334425,0.003654625147526939,1.2369629447456345,0.009599025723925078,0.8048613345210358,0.005788367193767049,0.8822464207985838,0.004063940970402189,1.2423196533469332,0.009660905676679871,0.8371737346000522,0.008281445121653465
ACS,unadjusted_reported_income_50000,lightgbm,id_test,0.35622530997097845,0.002228596109917388,0.8872044232777615,0.0014739134673018494,0.12951577329439565,0.00088262920263977,0.40107906023304646,0.002158613564634729,0.013258992492861141,0.002520340368276037,0.8007034091126363,0.005635692312795866,0.12900573479610974,0.0016156512699529275,0.9000971853292763,0.0034476311594924826,1.2095160489038506,0.008984636154630458,0.8380757423998209,0.004995911558129072,0.9027841868163577,0.002955164687977831,1.2253430050861125,0.00969162470987302,0.8806090864269356,0.007138024075616147
ACS,unadjusted_reported_income_50000,lightgbm,ood_test,0.4794467624304473,0.0,0.8764490273489713,0.00038190873079551094,0.1563522371598735,0.0008391392310846359,0.47838516646607526,0.002667317939581155,0.10142161085973218,0.0025435649330421417,0.7936472652259298,0.0044437298909129844,0.17188570474306242,0.00207581928551803,0.8677504472009104,0.003880158820978038,1.217695902880728,0.009403219334393248,0.780484267815488,0.006494290533551089,0.8829872108103904,0.00400452250601815,1.2313539881994222,0.009911230254121236,0.8305055865521149,0.007886440947085379
