repeat,metric,clean,targeted,random_mean,random_sd,random_min,random_q05,random_median,random_q95,random_max,targeted_minus_random_median,targeted_severity_percentile_among_random
0,auroc,0.7642328042328044,0.651005291005291,0.7433333333333333,0.01956581842544564,0.6943915343915343,0.705047619047619,0.7459259259259259,0.766074074074074,0.772910052910053,-0.09492063492063485,1.0
0,average_precision,0.5658073410347917,0.46539939347044856,0.5468135905281554,0.02738568281928362,0.4539214903227065,0.5121710527875214,0.554292079134216,0.5680053432945903,0.5820961426917519,-0.0888926856637674,0.95
0,brier,0.17431795416499388,0.20656398263433223,0.18028390499336594,0.006092461744469127,0.17170516079591125,0.17489131181438677,0.17948846333430124,0.18461239359810344,0.20268685823344934,0.027075519300030992,1.0
0,log_loss,0.5254537494178252,0.6182795220605495,0.5404221948906909,0.015227603503856728,0.5175408963463718,0.5259478394294029,0.5379502731389141,0.5551549620537432,0.5926199731476097,0.0803292489216354,1.0
0,ece,0.10654051249112143,0.10129371507037113,0.08226962685745749,0.0188706672297561,0.05154604008564851,0.05519333367883468,0.08127435389136844,0.10665508563062405,0.1225642578467889,0.020019361179002687,0.8
0,hcep_090,0.013333333333333334,0.03333333333333333,0.011666666666666667,0.00606976978666884,0.0,0.0,0.013333333333333334,0.02,0.02,0.019999999999999997,1.0
0,aurc,0.14770858070066084,0.22814676504037668,0.1596385681885935,0.010729965339120455,0.13725451871103087,0.1475604656484136,0.15773030118569217,0.1769874808137378,0.1806640345433444,0.0704164638546845,1.0
0,excess_aurc,0.11442380509449804,0.18245125634529377,0.11933315941962415,0.010333859985509583,0.09593911011879747,0.10668810421669532,0.11847553506423038,0.1398075137096647,0.1434840674392713,0.0639757212810634,1.0
1,auroc,0.8071957671957671,0.7303703703703703,0.7949841269841269,0.015503292727252968,0.7564021164021164,0.7568042328042328,0.7988359788359787,0.8144021164021163,0.8146031746031747,-0.06846560846560834,1.0
1,average_precision,0.6788244124402499,0.5494480232239924,0.6399830868741845,0.0388467569965687,0.5271896961722571,0.5866801498585061,0.6478192751997109,0.6794270010649095,0.7008782957275257,-0.0983712519757185,0.95
