heldout_site,mapping,missing_indicators,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
Cleveland,isotonic,False,id_test,prevalence,10,0.6129032258064517,1.1702778228589004e-16,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
Cleveland,isotonic,False,id_test,auroc,10,0.8886939571150096,0.024563530648320918,0.8555068226120857,0.8746345029239766,0.8817007797270955,0.9096003898635476,0.9305555555555556
Cleveland,isotonic,False,id_test,average_precision,10,0.8976108363685895,0.027789352110063784,0.8541292737904294,0.8822843202510414,0.8950371311280348,0.9128694881474371,0.9513466461286493
Cleveland,isotonic,False,id_test,pr_skill,10,0.7354946606188564,0.07178915961766476,0.6231672906252759,0.6959011606485236,0.7288459220807566,0.7749128443808793,0.8743121691656773
Cleveland,isotonic,False,id_test,brier,10,0.12471512159621685,0.015273925803834996,0.09987104402467163,0.11301437275586212,0.12874083881582582,0.13245610243107814,0.1462450830056875
Cleveland,isotonic,False,id_test,log_loss,10,0.6568509606372015,0.22322558098998013,0.3430194682994133,0.4942825747345875,0.6563971162195674,0.7996119180965665,1.0270096691821295
Cleveland,isotonic,False,id_test,ece,10,0.0777588891300437,0.030354536603426914,0.03024425403761994,0.05751342317536641,0.09064311908894648,0.09277525613372996,0.12193143323108013
Cleveland,isotonic,False,id_test,calibration_intercept,10,0.41386670839875694,0.40311984155490016,-0.22436612969368508,0.17736777682665228,0.5070285633527665,0.6857185569420136,1.0098377452246936
Cleveland,isotonic,False,id_test,calibration_slope,10,0.37548406344990165,0.29605438906725734,0.15636627348738122,0.19287120954353465,0.2564677691964223,0.37122132082406917,1.014960394015957
Cleveland,isotonic,False,id_test,hcep_090,10,0.03870967741935484,0.02544550444343921,0.010752688172043012,0.013440860215053765,0.03763440860215054,0.053763440860215055,0.07526881720430108
Cleveland,isotonic,False,id_test,aurc,10,0.0733851924412568,0.021761000278026597,0.050005211623739505,0.05500605640898061,0.07126577774390093,0.08153981159609372,0.11601580585119446
Cleveland,isotonic,False,id_test,excess_aurc,10,0.05703655624491673,0.020486948908864672,0.03427923134987759,0.04034939808706453,0.05475707984344544,0.06489160997230899,0.09594851492745146
Cleveland,isotonic,False,ood_test,prevalence,10,0.45874587458745875,0.0,0.45874587458745875,0.45874587458745875,0.45874587458745875,0.45874587458745875,0.45874587458745875
Cleveland,isotonic,False,ood_test,auroc,10,0.7345894016494121,0.13796072535888104,0.49122653097034563,0.6208655027197754,0.776638445341288,0.8523150991402001,0.8583084751710826
Cleveland,isotonic,False,ood_test,average_precision,10,0.6921216276008627,0.13687634777972812,0.4590592844424036,0.571828084022184,0.7267998222328521,0.8137395896508879,0.8260605724853755
Cleveland,isotonic,False,ood_test,pr_skill,10,0.43117593392110615,0.25288739864181475,0.0005790438173676736,0.2089262771873277,0.49524601302776944,0.6558725345379208,0.6786363016040778
Cleveland,isotonic,False,ood_test,brier,10,0.24354784083881692,0.09752484997499845,0.1607841788929578,0.1700020954940052,0.213551206645193,0.2941818215824816,0.46640758517090997
Cleveland,isotonic,False,ood_test,log_loss,10,1.7661748796453878,0.8439889298628882,0.9419945766241984,1.158868682465254,1.3981499285980177,2.082422199092225,3.600019579490859
Cleveland,isotonic,False,ood_test,ece,10,0.20625936848108029,0.11037918398187888,0.11759667577214691,0.13526344806140894,0.159445950220714,0.24730866495867168,0.47496508043330665
Cleveland,isotonic,False,ood_test,calibration_intercept,10,0.12525676557150717,0.4540112252760492,-0.5953871749440584,-0.13511873684218761,0.0833713485675632,0.3447064199893111,1.1075283320638225
Cleveland,isotonic,False,ood_test,calibration_slope,10,0.08928530479865718,0.06848913717316873,-0.032624531520327925,0.038681979318694895,0.10709322421226106,0.13190240274487167,0.17541486102821288
Cleveland,isotonic,False,ood_test,hcep_090,10,0.13267326732673268,0.09840666988419441,0.056105610561056105,0.06353135313531352,0.10066006600660066,0.1716171617161716,0.37293729372937295
Cleveland,isotonic,False,ood_test,aurc,10,0.19618123619220956,0.1573907459683772,0.045968618310697144,0.08928578165531889,0.12978185617954266,0.2785368727817026,0.5512908760145717
Cleveland,isotonic,False,ood_test,excess_aurc,10,0.1208040531320499,0.10215255167079076,-0.002149704039326246,0.06069751003641233,0.0774865167237993,0.18697800477470022,0.3320148371434234
Cleveland,isotonic,True,id_test,prevalence,10,0.6129032258064517,1.1702778228589004e-16,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
Cleveland,isotonic,True,id_test,auroc,10,0.8927144249512668,0.02071390563064207,0.8696393762183237,0.8790813840155944,0.8859649122807017,0.901011208576998,0.9385964912280701
Cleveland,isotonic,True,id_test,average_precision,10,0.9013055868729525,0.024305470681748955,0.86646469260556,0.8869949869057856,0.8990336093904849,0.9148570006996437,0.9477431559668402
Cleveland,isotonic,True,id_test,pr_skill,10,0.7450394327551276,0.06278913259451817,0.6550337892310301,0.7080703828399462,0.7391701575920862,0.7800472518074131,0.8650031529143373
Cleveland,isotonic,True,id_test,brier,10,0.1171891023372327,0.010386000067743165,0.09752306942482945,0.10863058156983658,0.12196734155791157,0.12478190047219136,0.12776513822742666
Cleveland,isotonic,True,id_test,log_loss,10,0.504774278659914,0.17560261288389767,0.30432424438558775,0.37112647988228065,0.4601589121492127,0.6540827930288168,0.7698798652136166
