repeat,target_definition,marginal_coverage,marginal_worst_class_coverage,marginal_avg_set_size,marginal_singleton_rate,marginal_ambiguous_rate,marginal_empty_rate,label_conditional_coverage,label_conditional_worst_class_coverage,label_conditional_avg_set_size,label_conditional_singleton_rate,label_conditional_ambiguous_rate,label_conditional_empty_rate,domain_family,condition_id,delta_coverage,delta_worst_class_coverage,delta_avg_set_size,delta_singleton_rate,delta_ambiguous_rate,delta_empty_rate,analysis_id,horizon_day,scenario,heldout_site
0,unadjusted_reported_income_50000,0.876063176638702,0.7956653206090248,1.2471025869573995,0.7528974130426004,0.2471025869573996,0.0,0.890025147275916,0.8425070834273226,1.2563631810272538,0.7436368189727464,0.2563631810272536,0.0,ACSIncome,unadjusted_reported_income_50000,0.013961970637213938,0.04684176281829777,0.009260594069854244,-0.009260594069854022,0.009260594069853995,0.0,,,,
0,survey_year_adjusted_50000,0.8767217094396245,0.8116564153719116,1.2506743178334108,0.7493256821665891,0.2506743178334108,0.0,0.8840388378065094,0.8346467996451616,1.2542091648711322,0.7457908351288678,0.2542091648711322,0.0,ACSIncome,survey_year_adjusted_50000,0.007317128366884917,0.022990384273250064,0.0035348470377214447,-0.0035348470377213337,0.003534847037721389,0.0,,,,
0,cpi_constant_2018usd,0.9005212874134965,0.8709043716080024,1.2506743178334108,0.7493256821665891,0.2506743178334108,0.0,0.8997709826217107,0.8888955224446359,1.2542091648711322,0.7457908351288678,0.2542091648711322,0.0,ACSIncome,cpi_constant_2018usd,-0.0007503047917857275,0.017991150836633496,0.0035348470377214447,-0.0035348470377213337,0.003534847037721389,0.0,,,,
1,unadjusted_reported_income_50000,0.8665891564266087,0.7787464582863387,1.2229561758736438,0.7770438241263563,0.2229561758736437,0.0,0.883927311081918,0.838064962819341,1.2361318330905042,0.7638681669094957,0.2361318330905043,0.0,ACSIncome,unadjusted_reported_income_50000,0.0173381546553093,0.05931850453300225,0.013175657216860426,-0.013175657216860648,0.01317565721686062,0.0,,,,
1,survey_year_adjusted_50000,0.8684438508577618,0.8001251504566151,1.2278809809800673,0.7721190190199326,0.2278809809800673,0.0,0.8814003305542091,0.8391306214947136,1.2380740484938704,0.7619259515061296,0.2380740484938703,0.0,ACSIncome,survey_year_adjusted_50000,0.01295647969644731,0.03900547103809848,0.010193067513803111,-0.010193067513803,0.010193067513803,0.0,,,,
1,cpi_constant_2018usd,0.8927162921415044,0.8620293057857558,1.2278809809800673,0.7721190190199326,0.2278809809800673,0.0,0.8929607257138992,0.8929013980746467,1.2380740484938704,0.7619259515061296,0.2380740484938703,0.0,ACSIncome,cpi_constant_2018usd,0.0002444335723947866,0.030872092288890984,0.010193067513803111,-0.010193067513803,0.010193067513803,0.0,,,,
2,unadjusted_reported_income_50000,0.8618657745862353,0.7723286710277717,1.2097351327811927,0.7902648672188073,0.2097351327811926,0.0,0.8777590830202687,0.8258179679788664,1.2224718098074252,0.7775281901925749,0.2224718098074251,0.0,ACSIncome,unadjusted_reported_income_50000,0.01589330843403347,0.05348929695109472,0.01273667702623249,-0.01273667702623238,0.01273667702623249,0.0,,,,
2,survey_year_adjusted_50000,0.8668362156281699,0.7962764058261218,1.224514299238955,0.7754857007610448,0.2245142992389551,0.0,0.875715468319096,0.8260582882116858,1.225914384734442,0.774085615265558,0.225914384734442,0.0,ACSIncome,survey_year_adjusted_50000,0.008879252690926043,0.029781882385564007,0.0014000854954869801,-0.0014000854954868691,0.0014000854954868969,0.0,,,,
2,cpi_constant_2018usd,0.8921072712048624,0.8592274181916737,1.224514299238955,0.7754857007610448,0.2245142992389551,0.0,0.8901760584380032,0.8820338987334015,1.225914384734442,0.774085615265558,0.225914384734442,0.0,ACSIncome,cpi_constant_2018usd,-0.0019312127668592582,0.022806480541727847,0.0014000854954869801,-0.0014000854954868691,0.0014000854954868969,0.0,,,,
3,unadjusted_reported_income_50000,0.8703846909315645,0.7859713585707189,1.227879230560623,0.7721207694393769,0.2278792305606231,0.0,0.8878698808201916,0.8459655431844586,1.2420364979958325,0.7579635020041677,0.2420364979958322,0.0,ACSIncome,unadjusted_reported_income_50000,0.01748518988862713,0.05999418461373973,0.014157267435209508,-0.014157267435209175,0.01415726743520912,0.0,,,,
3,survey_year_adjusted_50000,0.8761705773746034,0.812625227141944,1.2439308269244018,0.7560691730755983,0.2439308269244017,0.0,0.889511024079145,0.8525386524731325,1.2549879764938674,0.7450120235061326,0.2549879764938673,0.0,ACSIncome,survey_year_adjusted_50000,0.013340446704541598,0.03991342533118858,0.011057149569465574,-0.011057149569465685,0.011057149569465574,0.0,,,,
