metric,n_delta_observations,logistic_reference_mean_shift,lightgbm_minus_logistic_shift_delta,lightgbm_effect_se,lightgbm_effect_p_descriptive,converged
auroc,220,-0.05965608178065963,-0.0009530097644193927,0.005486159053816386,0.8620920780569209,True
ece,220,0.05516287990697739,-0.007219510062110565,0.005695171658567024,0.20492135502047293,True
brier,220,0.03232828855877419,-0.0024525110988697463,0.0037222597417398643,0.5099747966274248,True
