metric,raw_unadjusted,raw_cpi,raw_difference,aligned_unadjusted,aligned_cpi,aligned_difference,aligned_ci025,aligned_ci975
ece,0.09684958192167578,0.014288274805148025,0.08256130711652776,0.006182965422809413,0.010129386870755538,-0.003946421447946125,-0.006258852160849871,0.0007357202881663311
brier,0.15698270012981497,0.140041487677826,0.016941212451988957,0.14461518524751518,0.139881764442465,0.004733420805050181,0.0032528189475133896,0.006296085763393366
log_loss,0.47946165301962856,0.43273915420597403,0.046722498813654534,0.44653509264393726,0.43219167237252326,0.014343420271413998,0.010341732729262598,0.018440135332929437
