mapping,scenario_family,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
isotonic,none,label_conditional,0.05,coverage,20,0.9713333333333332,0.025964438118003363,0.9066666666666666,0.9566666666666667,0.98,0.9933333333333333,1.0
isotonic,none,label_conditional,0.05,avg_set_size,20,1.8479999999999996,0.10803075152406282,1.6533333333333333,1.7766666666666666,1.8766666666666665,1.9266666666666667,2.0
isotonic,none,label_conditional,0.05,singleton_rate,20,0.152,0.10803075152406282,0.0,0.07333333333333333,0.12333333333333334,0.22333333333333333,0.3466666666666667
isotonic,none,label_conditional,0.05,singleton_accuracy,19,0.8122852653426721,0.12640676595416644,0.4666666666666667,0.7298387096774194,0.8461538461538461,0.901219512195122,1.0
isotonic,none,label_conditional,0.05,class0_coverage,20,0.9657142857142859,0.03876602417870808,0.8761904761904762,0.9380952380952381,0.9857142857142858,0.9904761904761905,1.0
isotonic,none,label_conditional,0.05,class1_coverage,20,0.9844444444444445,0.028016517916281927,0.9111111111111111,0.9777777777777777,1.0,1.0,1.0
isotonic,none,label_conditional,0.05,class0_singleton_accuracy,18,0.5351827154383113,0.4052517562694984,0.0,0.06818181818181818,0.6527777777777777,0.89375,1.0
isotonic,none,label_conditional,0.05,class1_singleton_accuracy,19,0.8767942583732058,0.23128945041742655,0.25,0.8295454545454546,1.0,1.0,1.0
isotonic,none,label_conditional,0.05,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isotonic,none,label_conditional,0.1,coverage,20,0.9513333333333331,0.03869811183571006,0.86,0.94,0.9666666666666667,0.98,0.9933333333333333
isotonic,none,label_conditional,0.1,avg_set_size,20,1.6826666666666668,0.13647868972311394,1.4733333333333334,1.5716666666666665,1.67,1.7933333333333332,1.88
isotonic,none,label_conditional,0.1,singleton_rate,20,0.31733333333333336,0.13647868972311394,0.12,0.20666666666666667,0.33,0.42833333333333334,0.5266666666666666
isotonic,none,label_conditional,0.1,singleton_accuracy,20,0.8519154125176908,0.08399809081808599,0.6666666666666666,0.8057140310215725,0.8929623567921441,0.9103896103896103,0.9444444444444444
isotonic,none,label_conditional,0.1,class0_coverage,20,0.9552380952380952,0.04146729961767525,0.8666666666666667,0.9238095238095239,0.9761904761904762,0.9904761904761905,1.0
