metric,UU,UC,CU,CC,total_unadjusted_minus_cpi,prediction_pipeline_component,target_label_definition_component,component_sum
ece,0.09684958192167578,0.07149936679525161,0.015597841872477902,0.014288274805148025,0.08256130711652776,0.013329891096877024,0.06923141601965074,0.08256130711652776
brier,0.15698270012981497,0.15112850343842132,0.14009562032340248,0.140041487677826,0.016941212451988957,0.002954164668485054,0.013987047783503903,0.016941212451988957
log_loss,0.47946165301962856,0.4636242893390948,0.432529214056568,0.43273915420597403,0.046722498813654534,0.007813711765563891,0.03890878704809064,0.046722498813654534
