horizon_day,repeat,domain,conformal_method,aggregation,coverage,avg_set_size,singleton_rate,class0_coverage,class1_coverage,class0_avg_set_size,class1_avg_set_size,class0_singleton_accuracy,class1_singleton_accuracy
14,0,id_test,label_conditional,equal_pair,0.9161836837900914,1.6325399978092694,0.3674600021907308,0.9312056947876611,0.896885826753182,1.6555987675023407,1.6062761760944084,,0.7599449126793567
14,0,id_test,label_conditional,size_weighted,0.9109098337819775,1.5983974114063821,0.401602588593618,0.9265092763216085,0.8923451088607932,1.6240276287346684,1.571567882089689,,0.7522826975252124
14,0,id_test,marginal,equal_pair,0.8936876211427435,1.5517154045541997,0.44828459544580046,0.9415113711180759,0.7971126493882779,1.556729271494737,1.5656643534817913,0.8494282156918024,0.5164049289665987
14,0,id_test,marginal,size_weighted,0.8977169432916898,1.5566800007862054,0.44331999921379456,0.9360899713371683,0.8308516685381347,1.566593372996883,1.5606264090275066,0.8364808460849184,0.6090522413820307
14,0,ood_test,label_conditional,equal_pair,0.9011825692229694,1.6173421240907324,0.3826578759092674,0.9369289773067224,0.8400527263804596,1.6126383633153434,1.6251416508568137,0.7907283189866359,0.6361729913833228
14,0,ood_test,label_conditional,size_weighted,0.8872287780738485,1.5603349828701942,0.4396650171298059,0.9378568325496693,0.8005654241500634,1.5493262624803419,1.579888503016857,0.8295525907414023,0.5960955898101052
14,0,ood_test,marginal,equal_pair,0.8845188858733324,1.540492658331551,0.4595073416684489,0.9492914500416041,0.7549047017015443,1.5262587969945054,1.5775100936190771,0.8494353720617612,0.4378366169943979
14,0,ood_test,marginal,size_weighted,0.8738104301484583,1.50885039969547,0.49114960030452987,0.9458643741385819,0.7404908934496585,1.4938602149360773,1.5435164428701587,0.84557310416641,0.4814762995627441
14,1,id_test,label_conditional,equal_pair,0.9077741285221097,1.559580085425419,0.4404199145745812,0.906873247047916,0.9005707920275489,1.6018109486252667,1.508078036618921,0.7673538955249319,0.7993499534205255
14,1,id_test,label_conditional,size_weighted,0.9053658766819808,1.5527820514472637,0.44721794855273617,0.9017522021892374,0.9081263682521569,1.5970548940183928,1.5048724933320117,0.7565908584898734,0.8156423534088809
14,1,id_test,marginal,equal_pair,0.9022581924141464,1.5319927475979762,0.4680072524020237,0.9456925686396787,0.8228466286204892,1.5204974143217773,1.5695150760225767,0.8754566880194333,0.5429421641961187
14,1,id_test,marginal,size_weighted,0.9004093105888422,1.5247203060954306,0.4752796939045692,0.9400559533656875,0.8394806432539477,1.516437438115074,1.5523468651280288,0.8643254022030932,0.6133367464593542
14,1,ood_test,label_conditional,equal_pair,0.8890189831566175,1.5857275899339633,0.4142724100660368,0.9112036682354095,0.8480292520134459,1.592975617802093,1.574840943568888,0.7556871770818714,0.6652752944535621
14,1,ood_test,label_conditional,size_weighted,0.8858964598401218,1.5605253140464408,0.4394746859535592,0.9158916310050624,0.8337387760614976,1.562196495110813,1.5598484225830826,0.77780605593124,0.6611587600957914
14,1,ood_test,marginal,equal_pair,0.8907990918706157,1.551036518943072,0.448963481056928,0.9541775689904214,0.7746772632761931,1.5266579077133378,1.5980807750646209,0.8853638831607822,0.4389317513311887
14,1,ood_test,marginal,size_weighted,0.8813285116102018,1.518747620860297,0.4812523791397031,0.9516925249948065,0.7593176367593484,1.4907659475095134,1.5691692563283375,0.881649253968933,0.47108746855894734
