metric,n_delta_observations,n_domains,n_conditions,mixed_model_intercept_mean_shift,intercept_se,domain_variance,condition_within_domain_variance,refit_residual_variance,domain_variance_fraction,condition_variance_fraction,refit_variance_fraction,converged
auroc,110,4,10,-0.05904900435530616,0.031657773699937254,0.0023445973084532177,0.0034118886207600437,0.0021747151268674265,0.2956169301313656,0.4301856171133399,0.27419745275529456,True
ece,110,4,10,0.05428568727505663,0.026640834864423212,2.4636927494529805e-10,0.005379262198860865,0.0020781588458406042,3.3036791851935736e-08,0.7213300669095638,0.2786699000536444,True
brier,110,4,10,0.03224503603774988,0.016339666247410723,0.0006907011422170792,0.0007043819768678261,0.0009600102971036856,0.2932797219291998,0.29908876311487287,0.4076315149559273,True
