domain_family,condition_id,n_repeats,marginal_worst_class_coverage,label_conditional_worst_class_coverage,delta_worst_class_coverage,marginal_avg_set_size,label_conditional_avg_set_size,delta_avg_set_size,marginal_singleton_rate,label_conditional_singleton_rate,delta_singleton_rate,worst_class_coverage_direction
ACSIncome,cpi_constant_2018usd,10,0.8655176084578468,0.8900836046279508,0.024565996170104167,1.2369629447456345,1.2423196533469332,0.0053567086012985985,0.7630370552543654,0.7576803466530667,-0.0053567086012985985,improved
ACSIncome,survey_year_adjusted_50000,10,0.8048613345210358,0.8371737346000522,0.03231240007901657,1.2369629447456345,1.2423196533469332,0.0053567086012985985,0.7630370552543654,0.7576803466530667,-0.0053567086012985985,improved
ACSIncome,unadjusted_reported_income_50000,10,0.7838565138193657,0.8378414485788162,0.05398493475945032,1.2279517104286115,1.2405917017865407,0.012639991357929281,0.7720482895713886,0.7594082982134595,-0.012639991357929148,improved
HeartDisease,Cleveland,10,0.7176083523425162,0.6973328654149851,-0.02027548692753114,1.3072607260726072,1.3762376237623761,0.06897689768976896,0.6927392739273928,0.6237623762376237,-0.068976897689769,worsened
HeartDisease,Hungary,10,0.8829586511441189,0.8150943396226416,-0.06786431152147732,1.3200680272108845,1.360544217687075,0.040476190476190485,0.6799319727891157,0.6394557823129252,-0.040476190476190485,worsened
HeartDisease,Switzerland,10,0.7454347826086957,0.7609782608695652,0.01554347826086957,1.3528455284552847,1.389430894308943,0.03658536585365855,0.6471544715447155,0.6105691056910569,-0.03658536585365856,improved
HeartDisease,VA Long Beach,10,0.6862745098039216,0.7333333333333333,0.04705882352941178,1.302,1.3699999999999999,0.06799999999999995,0.698,0.63,-0.06799999999999998,improved
OULAD,AAA-J|14,10,0.701219512195122,0.8639830508474576,0.16276353865233567,1.6446540880503142,1.7544025157232703,0.10974842767295598,0.3553459119496855,0.24559748427672953,-0.109748427672956,improved
OULAD,AAA-J|56,10,0.767948717948718,0.8655955858487504,0.09764686790003245,1.6952380952380952,1.7571428571428573,0.06190476190476195,0.30476190476190473,0.24285714285714283,-0.06190476190476189,improved
OULAD,BBB-B|14,10,0.8500395716945996,0.8385288640595903,-0.011510707635009332,1.5373110580747813,1.5249801113762929,-0.012330946698488577,0.4626889419252188,0.47501988862370725,0.012330946698488448,worsened
OULAD,BBB-B|56,10,0.8764116769656936,0.8195290858725762,-0.056882591093117385,1.5700657894736842,1.5601151315789474,-0.009950657894736792,0.42993421052631575,0.4398848684210527,0.009950657894736864,worsened
OULAD,BBB-J|14,10,0.44263074484944537,0.5437400950871633,0.1011093502377179,1.2889204545454545,1.346818181818182,0.05789772727272724,0.7110795454545455,0.6531818181818181,-0.057897727272727295,improved
OULAD,BBB-J|56,10,0.47530017152658666,0.5633328819475791,0.08803271042099245,1.2294834590829948,1.2716192687173535,0.04213580963435866,0.7705165409170053,0.7283807312826466,-0.04213580963435868,improved
OULAD,DDD-B|14,10,0.8638258324764692,0.8342213082338052,-0.02960452424266393,1.6136904761904762,1.6116071428571428,-0.002083333333333304,0.38630952380952377,0.38839285714285715,0.00208333333333337,worsened
OULAD,DDD-B|56,10,0.8705257111345986,0.8546399522080786,-0.015885758926519923,1.517577706323687,1.5064308681672025,-0.011146838156484429,0.4824222936763129,0.4935691318327974,0.01114683815648449,worsened
OULAD,DDD-J|14,10,0.8913324417839478,0.8917841601392515,0.000451718355303643,1.640622737146995,1.6452570601013758,0.004634322954380954,0.3593772628530051,0.35474293989862415,-0.004634322954380893,improved
OULAD,DDD-J|56,10,0.8604394943918926,0.8414410478330421,-0.018998446558850513,1.5577761081893313,1.556123215627348,-0.0016528925619834433,0.4422238918106687,0.4438767843726521,0.0016528925619834823,worsened
OULAD,EEE-J|14,10,0.7372307692307692,0.8480571817562967,0.11082641252552757,1.4920239282153538,1.573878364905284,0.0818544366899302,0.5079760717846461,0.42612163509471584,-0.08185443668993023,improved
OULAD,EEE-J|56,10,0.7577702702702702,0.8648279917085226,0.10705772143825239,1.3875770020533882,1.508829568788501,0.1212525667351129,0.6124229979466119,0.49117043121149895,-0.12125256673511295,improved
OULAD,FFF-B|14,10,0.8741214057507987,0.8689274590122888,-0.0051939467385099134,1.5388449367088608,1.5541930379746836,0.015348101265822756,0.4611550632911392,0.44580696202531644,-0.015348101265822783,worsened
OULAD,FFF-B|56,10,0.8846689895470383,0.8735948388501742,-0.01107415069686415,1.5075782537067546,1.5208401976935748,0.013261943986820346,0.4924217462932455,0.47915980230642496,-0.013261943986820434,worsened
OULAD,FFF-J|14,10,0.8103253182461103,0.8805507854405882,0.07022546719447789,1.5378888888888889,1.595,0.05711111111111109,0.46211111111111103,0.40499999999999997,-0.05711111111111111,improved
OULAD,FFF-J|56,10,0.7868932038834952,0.8881708714241844,0.10127766754068931,1.4273045507584599,1.5145274212368727,0.08722287047841304,0.5726954492415403,0.48547257876312716,-0.08722287047841307,improved
OULAD,GGG-J|14,10,0.7773722627737226,0.9006236509531892,0.12325138817946646,1.6973500697350068,1.7552301255230127,0.05788005578800561,0.30264993026499304,0.24476987447698742,-0.05788005578800559,improved
OULAD,GGG-J|56,10,0.8533596837944664,0.9048510425681885,0.051491358773722073,1.7022988505747125,1.721551724137931,0.01925287356321832,0.29770114942528736,0.27844827586206894,-0.019252873563218413,improved
SouthGermanCredit,clean,20,0.7166666666666667,0.863015873015873,0.14634920634920637,1.372,1.4816666666666667,0.10966666666666666,0.628,0.5183333333333333,-0.10966666666666666,improved
SouthGermanCredit,targeted_top3,20,0.3322222222222222,0.71,0.3777777777777778,1.1853333333333333,1.527,0.3416666666666666,0.8146666666666667,0.47300000000000003,-0.3416666666666667,improved
