horizon_day,domain,aggregation,metric,n_repeats,mean,sd,min,q25,median,q75,max
14,id_test,equal_pair,prevalence,10,0.4338974090708609,0.0,0.4338974090708609,0.4338974090708609,0.4338974090708609,0.4338974090708609,0.4338974090708609
14,id_test,equal_pair,auroc,10,0.7084653808198053,0.018671136831783675,0.6749230857776265,0.7037359907575448,0.7087009585012553,0.7207891384436593,0.7329476397027697
14,id_test,equal_pair,average_precision,10,0.661509506804832,0.022896125309507104,0.6261925990070399,0.6497233313986298,0.6609361834781002,0.6721469638111793,0.696394499839445
14,id_test,equal_pair,pr_skill,10,0.41871007950962086,0.03843688966743269,0.3621400119438766,0.4024639678757892,0.42156843302765024,0.434625027557642,0.47472358787665875
14,id_test,equal_pair,brier,10,0.2035994563239938,0.0035740073756029326,0.1974122324411195,0.20103495105429942,0.20374465495292376,0.2057660543411908,0.20958468670294492
14,id_test,equal_pair,log_loss,10,0.5955714416256962,0.009316306113366712,0.5821722945261533,0.5880615744984343,0.5954692268433552,0.601641081317317,0.6090881603011863
14,id_test,equal_pair,ece,10,0.08120054911890887,0.009271992547869505,0.06752814673115078,0.07427315078604528,0.08276276660316953,0.08667829651229444,0.09721299173633484
14,id_test,equal_pair,calibration_intercept,10,0.4309329395003475,1.2590170832622736,-0.5369473548201967,-0.02620189084927616,0.009747424910721295,0.23912083460021188,3.689618039362978
14,id_test,equal_pair,calibration_slope,10,1.4322334285770368,1.2200385661407251,0.15447565350703585,0.9916375233291956,1.0346312127323025,1.3797614945853276,4.490913929447205
14,id_test,equal_pair,hcep_080,10,0.024238627596546086,0.008252780990752587,0.010375321678506327,0.017797894911469152,0.025376095792958128,0.029023349691974672,0.034846095491749364
14,id_test,equal_pair,hcep_090,10,0.00418152359647523,0.003052730612785998,0.0009182736455463728,0.0015969276953892826,0.0035907253842120336,0.00579353084812485,0.009839040100375413
14,id_test,equal_pair,hcep_095,10,0.0006905000586124217,0.0007226999153899287,0.0,9.956192751891676e-05,0.0004873294346978557,0.0011840009222578547,0.002156001445500854
