repeat,target_definition,metric,delta_ood_minus_id
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",pr_skill,0.03925701975870011
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",brier,0.02210445268686101
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",log_loss,0.06300842232942416
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",ece,0.08862867408895175
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",calibration_intercept,0.7100813159963304
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",calibration_slope,-0.0399819142008645
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",hcep_080,0.01866103510470641
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",hcep_090,0.009420481960268241
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",hcep_095,0.004336405037371788
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",aurc,0.029864528768943854
1,"domain
    survey_year_adjusted_50000
Name: 4, dtype: object",excess_aurc,0.02219490944818886
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",prevalence,0.12413741065253009
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",auroc,-0.00908864337626436
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",average_precision,0.060088603644846694
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",pr_skill,0.03875335529103918
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",brier,0.026095058023735435
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",log_loss,0.07404931762256778
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",ece,0.08553687752831458
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",calibration_intercept,0.695337548046648
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",calibration_slope,-0.05430493317145657
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",hcep_080,0.024218987973156164
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",hcep_090,0.010890443852730407
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",hcep_095,0.004336295346404005
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",aurc,0.03436492367183944
1,"domain
    unadjusted_reported_income_50000
Name: 5, dtype: object",excess_aurc,0.02580445099500666
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",prevalence,0.009804405780652448
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",auroc,-0.006979749265974888
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",average_precision,-0.004450098098193744
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",pr_skill,-0.012344107589497333
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",brier,0.005168499221757855
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",log_loss,0.013235671638778312
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",ece,-0.0014806712933056777
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",calibration_intercept,-0.08113550031163612
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",calibration_slope,-0.03232152139755484
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",hcep_080,0.0017524624254845467
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",hcep_090,0.00021365776804387407
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",hcep_095,0.001042983695249228
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",aurc,0.006191822926047252
2,"domain
    cpi_constant_2018usd
Name: 6, dtype: object",excess_aurc,0.00434592297004352
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",prevalence,0.1235031508424379
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",auroc,-0.009354202791931998
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",average_precision,0.05329057798177628
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",pr_skill,0.031394313266195906
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",brier,0.023463832302791726
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",log_loss,0.0653306677442646
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",ece,0.09077670972895413
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",calibration_intercept,0.6967328913930405
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",calibration_slope,-0.06826768818999784
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",hcep_080,0.01929716657521642
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",hcep_090,0.010506624220129955
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",hcep_095,0.005461292432480386
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",aurc,0.03310958751330784
2,"domain
    survey_year_adjusted_50000
Name: 7, dtype: object",excess_aurc,0.024502114474622805
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",prevalence,0.12418807233739965
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",auroc,-0.010823994370919077
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",average_precision,0.059636636792534836
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",pr_skill,0.03770075228151548
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",brier,0.026698947057702482
