target_definition,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,id_test,prevalence,5,0.3875121099015365,0.003933418159103407,0.38244303062403084,0.3844110540279727,0.388719454585308,0.390331276068443,0.39165573420192795
cpi_constant_2018usd,id_test,auroc,5,0.8827026779530028,0.0022445209072339853,0.8794568090052322,0.8813859480665056,0.8835326698386925,0.884232091426439,0.8849058714281444
cpi_constant_2018usd,id_test,average_precision,5,0.8185509674771417,0.0028032687922650065,0.8155360249731627,0.8160703796886297,0.8189057076990967,0.8199275518682532,0.8223151731565659
cpi_constant_2018usd,id_test,brier,5,0.13464441135322874,0.0011436536203145355,0.1336144756043312,0.13390231936996483,0.13394972988670067,0.13565936634272402,0.1360961655624231
cpi_constant_2018usd,id_test,log_loss,5,0.41797276347387663,0.0028409936857112703,0.41530570016962387,0.41578594755383275,0.4168870923131032,0.42005603466353636,0.421829042669287
cpi_constant_2018usd,id_test,ece,5,0.013114335350681114,0.0031213619031957613,0.009216537565568422,0.012226004355320525,0.012998011517695533,0.013224718973224523,0.017906404341596568
cpi_constant_2018usd,id_test,calibration_intercept,5,-0.003118110019724573,0.049716190290325896,-0.0670572745276324,-0.03995970199784833,0.009132643728304265,0.027501067982885544,0.05479271471566806
cpi_constant_2018usd,id_test,calibration_slope,5,1.0085321088882624,0.03268781815622832,0.9784725726219012,0.9790986135988546,1.0033239911447167,1.0270294599599654,1.0547359071158742
cpi_constant_2018usd,id_test,hcep_090,5,0.015508875876771688,0.0019548788152995715,0.013220853238613254,0.014604325269451907,0.014665460238271722,0.017092708908087246,0.017961031729434324
cpi_constant_2018usd,id_test,aurc,5,0.07876282688071598,0.0012563727845134299,0.07739840638585249,0.07783019949496436,0.07859736659749067,0.07948265998467806,0.08050550194059433
cpi_constant_2018usd,ood_test,prevalence,5,0.3973446685669603,0.0007816892279417435,0.39643843370540915,0.3967488525413399,0.3972589390238189,0.3981353235360613,0.3981417940281724
cpi_constant_2018usd,ood_test,auroc,5,0.874788262245428,0.0016685385477021148,0.8726706390198989,0.8739915871416088,0.8743054323086898,0.8764040640126529,0.8765695887442901
cpi_constant_2018usd,ood_test,average_precision,5,0.806649126710375,0.0019058926423094502,0.8044037761376744,0.805300146489287,0.8067759770659129,0.807477174123605,0.8092885597353952
