horizon_day,repeat,domain,aggregation,prevalence,auroc,average_precision,pr_skill,brier,log_loss,ece,calibration_intercept,calibration_slope,hcep_080,hcep_090,hcep_095,aurc,excess_aurc
14,0,id_test,equal_pair,0.4338974090708609,0.703084296778353,0.6567917419230377,0.41288122417061346,0.20478554507892743,0.596895389923954,0.082979079608435,0.008340775639986166,1.090955605403752,0.024288956856646907,0.003121002690380681,0.0004873294346978557,0.21968896045099262,0.16450409762758259
14,0,id_test,size_weighted,0.4572231268490541,0.724097276175552,0.69631824367705,0.4527297116787419,0.20576987444494688,0.5989929675835841,0.08162347309753924,-0.020938167753314633,1.112991885168868,0.01814460448257371,0.003858291427022795,0.0005520591807441757,0.2177613516582447,0.16173873829714866
14,0,ood_test,equal_pair,0.40187314740586927,0.6746875063575474,0.5840727751254327,0.31537942052268675,0.21535943618697984,0.6249522843190781,0.06261663890344643,-0.11166790697945034,0.9230092892328562,0.04350706202474202,0.008864403956839444,0.0012490912671420814,0.24929402612217494,0.18562730036358946
14,0,ood_test,size_weighted,0.4125428245146555,0.687314145237073,0.6064904778071712,0.3373696708050017,0.21786791958584398,0.6316371926154812,0.06902866641423853,-0.08234029183444713,0.9436657243264731,0.04843928435477731,0.01161020175104682,0.0016178149980966882,0.2475104433621479,0.18236677188492362
14,1,id_test,equal_pair,0.4338974090708609,0.7329476397027697,0.696394499839445,0.47472358787665875,0.1974122324411195,0.5821722945261533,0.08722109819697116,0.306850354832493,1.4760301243125196,0.015122214545550607,0.0011862697746934762,0.00039824771007566706,0.20283691347273874,0.15609445325562615
14,1,id_test,size_weighted,0.4572231268490541,0.741125862057489,0.7182240384291617,0.48927293295693575,0.20038405156687525,0.5894427616855203,0.08314926143088328,0.09831758453188977,1.2795454095500314,0.014851436010582966,0.0010973360283824348,0.0005493879266438008,0.20713949151729816,0.15798263598365492
14,1,ood_test,equal_pair,0.40187314740586927,0.6806474154281237,0.5925002129586244,0.3294348685667419,0.21009398683846106,0.6093714141019348,0.04791960967155087,-0.018670287124005078,1.0605788941861316,0.021910223954193467,0.0010738219215767472,0.00014358830886709235,0.24139739106594924,0.1812686697592269
14,1,ood_test,size_weighted,0.4125428245146555,0.6952894096188317,0.616180587142697,0.3530413116937715,0.211494557108715,0.6122854199713345,0.049674435656233175,-0.015233502729691782,1.0637929083105935,0.02398172820708032,0.0011419870574800152,0.00019033117624666921,0.24027326290231038,0.17871191160828315
14,2,id_test,equal_pair,0.4338974090708609,0.6841917130343584,0.6261925990070399,0.3621400119438766,0.20958468670294492,0.6080386574695817,0.07438149516530257,0.03593227390336843,0.9902469870196333,0.02807939600582279,0.004060448078043386,0.0013859020310633215,0.23306482049741106,0.1709807106809595
14,2,id_test,size_weighted,0.4572231268490541,0.7052108612446908,0.6733992602395598,0.41212999516972226,0.2102498555024842,0.6095999286208803,0.0775107300957667,-0.006171652406710539,0.9617536984017149,0.02915814035671616,0.004953754925225932,0.0016515740809995478,0.23284608194692014,0.1698170238744804
14,2,ood_test,equal_pair,0.40187314740586927,0.6778953846539105,0.5871764800709175,0.3193331832506273,0.21299441262932195,0.6173073508753544,0.05309264589741019,0.020917701555716636,1.0095304720879366,0.0321420803151663,0.005687671695269551,0.0006444300597088432,0.24735565690689448,0.18272026737391392
14,2,ood_test,size_weighted,0.4125428245146555,0.6876489366557108,0.607260638235892,0.3377476532956586,0.21528863194577783,0.6232402687815027,0.059729870019834,-0.02348139697657366,0.9289996954235482,0.04092120289303388,0.007613247049866768,0.000951655881233346,0.24813231969473945,0.18205065266832984
14,3,id_test,equal_pair,0.4338974090708609,0.7103877601297774,0.6554392806537793,0.40499535025465855,0.20609289076194526,0.603222978448438,0.08254645359790408,-0.019106649569293043,0.9958091322578828,0.02646323472926935,0.0060243506399390275,0.0013729065794713783,0.22473518031000936,0.16446117447013966
14,3,id_test,size_weighted,0.4572231268490541,0.7230536648580128,0.6863495353163553,0.43227975158937115,0.2083396806864089,0.6090597898119988,0.08197429841370733,-0.04953043368006947,0.983170423240225,0.02420190559963419,0.0066092729725389775,0.0016535062881321524,0.22539718461439384,0.1650235603050576
14,3,ood_test,equal_pair,0.40187314740586927,0.6745710377506664,0.5842680409548593,0.31570900226345366,0.21317768096481432,0.6170804443632228,0.05716329447255481,-0.13596296071617486,0.8388563230280413,0.02984634301629812,0.002848207147030709,0.0009312998584639828,0.24876207070382728,0.18366879582115528
14,3,ood_test,size_weighted,0.4125428245146555,0.6863486580355519,0.6066653009386188,0.3377316652515896,0.2146177818900029,0.6204756522598323,0.05841944452778159,-0.10257495493442413,0.8630390445062247,0.03121431290445375,0.0031404644080700417,0.0010468214693566806,0.2498950304376705,0.18367890457627029
14,4,id_test,equal_pair,0.4338974090708609,0.7315046320097667,0.6925753352186349,0.47035102088291086,0.20023080954817524,0.5860153409598925,0.06752814673115078,3.689618039362978,4.490913929447205,0.023058704861922893,0.0014337956921688978,0.0004873294346978557,0.20349634703807842,0.15435128137412352
14,4,id_test,size_weighted,0.4572231268490541,0.7382382373711195,0.720224286225415,0.4934013494144713,0.20173901790386414,0.5891471614213551,0.06824869555495958,1.0244668770363805,2.047536107862138,0.024211897892621192,0.0016536681823200537,0.0005520591807441757,0.20841761960117686,0.15695161768481347
14,4,ood_test,equal_pair,0.40187314740586927,0.6803861869767536,0.5862921336636284,0.31903439992924176,0.21376994544871597,0.6189991625701012,0.05930128757272625,0.809449399999373,1.7322927825718548,0.03191731893554056,0.003607922814075353,0.0010355250249858398,0.24603961557350626,0.18282518631058603
14,4,ood_test,size_weighted,0.4125428245146555,0.6895926364445429,0.6064158377754297,0.33697878326869324,0.21558327875432481,0.6229075397490482,0.06286240496729341,0.16577772721506767,1.1277259908503345,0.03787590407308717,0.0039017891130567186,0.000951655881233346,0.24817916344001437,0.18310974258658516
14,5,id_test,equal_pair,0.4338974090708609,0.7070141568727331,0.6731856728058866,0.435347564002889,0.2041030864713136,0.5962430606237215,0.08986293777218685,0.011154074181456423,1.061892780995316,0.029338000920691967,0.005101071472682318,0.0,0.22465759100557559,0.170876239984769
