repeat,feature_set,auroc,brier,ece,hcep_090,aurc
0,buerge|laufzeit|weitkred,0.7453968253968254,0.1781931753963667,0.0734142743361722,0.013333333333333334,0.15613680030375676
0,famges|sparkont|weitkred,0.7443386243386243,0.1802911505863993,0.05154604008564851,0.0,0.1593195078283789
0,rate|verm|wohn,0.772910052910053,0.17170516079591125,0.08362222384742518,0.006666666666666667,0.13725451871103087
0,buerge|laufzeit|wohn,0.7477248677248677,0.17857092375725564,0.07583719877473973,0.013333333333333334,0.15638158872157487
0,rate|verw|wohnzeit,0.7597883597883598,0.17532534175697864,0.05538529649952869,0.006666666666666667,0.14857502963586494
0,laufkont|telef|wohnzeit,0.6943915343915343,0.20268685823344934,0.1225642578467889,0.013333333333333334,0.17415512370339092
0,beruf|wohn|wohnzeit,0.7657142857142857,0.1750590039732539,0.10297162006367269,0.013333333333333334,0.14810288390827586
0,beszeit|famges|sparkont,0.7515343915343914,0.1809639343667008,0.09020064606651258,0.006666666666666667,0.15470847211752026
0,beszeit|hoehe|wohnzeit,0.7498412698412699,0.17972810331944042,0.05872089767981845,0.013333333333333334,0.1579624414555673
0,pers|rate|verw,0.7623280423280422,0.17577365890054705,0.0610609510360942,0.006666666666666667,0.14856924934039703
0,bishkred|famges|wohn,0.7580952380952382,0.17927837063319435,0.07892648393531172,0.02,0.15749816091581706
0,beruf|hoehe|verm,0.7343915343915344,0.17746236727522177,0.10263282646874664,0.013333333333333334,0.15846451802757058
0,hoehe|laufzeit|verm,0.718941798941799,0.18145234272004523,0.0642468565502968,0.02,0.17679397798586377
0,famges|verw|wohnzeit,0.7324867724867724,0.18350133480652736,0.0780869832226921,0.013333333333333334,0.1710381477496773
0,famges|pers|verw,0.7341798941798943,0.1836611059857168,0.07491523931335836,0.013333333333333334,0.16572795657461928
0,beszeit|hoehe|wohn,0.7464550264550264,0.1812565750111089,0.10581776077714168,0.02,0.16575613500453146
0,beszeit|sparkont|telef,0.7572486772486773,0.17969855603540813,0.08653728258087882,0.0,0.15435398629123992
0,hoehe|pers|wohn,0.7398941798941798,0.17876682169592722,0.09717290682893205,0.02,0.16660670118878423
0,alter|pers|sparkont,0.7453968253968255,0.1786758331201766,0.08403826310082003,0.006666666666666667,0.15470212976466488
0,alter|hoehe|verw,0.7056084656084656,0.18362748149768968,0.09769452813457045,0.013333333333333334,0.1806640345433444
1,beruf|gastarb|wohnzeit,0.8006349206349206,0.15931314204630975,0.10146082908906265,0.0,0.12189071192741993
1,rate|sparkont|telef,0.8004232804232804,0.1705997845908,0.14118591706317288,0.0,0.1312427969594829
1,famges|sparkont|verw,0.7564021164021164,0.1740161785607801,0.07992891969458174,0.006666666666666667,0.15088538042401314
1,alter|bishkred|buerge,0.8033862433862434,0.15891002945320842,0.05448878999030535,0.006666666666666667,0.11812852976211778
1,bishkred|verm|wohn,0.8052910052910054,0.16049574148260276,0.08401538320103442,0.006666666666666667,0.12221726554611073
1,bishkred|buerge|weitkred,0.7953439153439154,0.1598788678039237,0.0931229709862356,0.006666666666666667,0.1273810986461555
1,pers|wohn|wohnzeit,0.8143915343915343,0.1586638020717957,0.0809891489267745,0.0,0.11314223674316357
1,beszeit|moral|verm,0.8042328042328042,0.15974406125504859,0.09340799921978468,0.02,0.13486372562886428
1,bishkred|pers|sparkont,0.8016931216931217,0.161931560839603,0.09993876451834954,0.0,0.12128422940249695
