domain_family,condition,repeat,seed,model,auroc_id_test,auroc_ood_test,brier_id_test,brier_ood_test,ece_id_test,ece_ood_test,delta_auroc,delta_ece,delta_brier,condition_id
ACS,cpi_constant_2018usd,0,20260728,lightgbm,0.8912831448679799,0.8772426524616013,0.1297401796877418,0.1392784899869605,0.0153322826916563,0.0152437503823624,-0.014040492406378613,-8.853230929390006e-05,0.0095383102992187,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,0,20260728,logistic_regression,0.8886304558915097,0.8750776940326926,0.1311920980313515,0.140041487677826,0.020648404033412,0.014288274805148,-0.013552761858817042,-0.0063601292282640005,0.008849389646474498,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,1,20260729,lightgbm,0.8851362594308623,0.8765366749854624,0.1331899882632042,0.1399539684200522,0.0134067451517762,0.0191883759232462,-0.008599584445399877,0.005781630771469998,0.00676398015684801,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,1,20260729,logistic_regression,0.8782459426129786,0.8746255838286235,0.1366195083636014,0.1404068241518792,0.0133790917714159,0.0165448873913893,-0.003620358784355071,0.0031657956199733998,0.0037873157882777897,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,2,20260730,lightgbm,0.885941140149989,0.8760411512625378,0.132910170184737,0.1398450582432142,0.0148488956553598,0.0127889035645755,-0.00989998888745125,-0.0020599920907843003,0.0069348880584771955,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,2,20260730,logistic_regression,0.8819552880123256,0.8749755387463507,0.1348514512615455,0.1400199504833034,0.0123606256300741,0.0108799543367684,-0.006979749265974888,-0.0014806712933057003,0.005168499221757911,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,3,20260731,lightgbm,0.8861405626797223,0.8769282183717824,0.1324803360796241,0.1397063618771575,0.0128208647143912,0.0175144118530003,-0.009212344307939935,0.004693547138609099,0.0072260257975333975,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,3,20260731,logistic_regression,0.8808143925146019,0.8750533725061402,0.1356288207601602,0.1401460138007856,0.009616096110426,0.0158245309158075,-0.005761020008461681,0.0062084348053815,0.004517193040625395,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,4,20260732,lightgbm,0.8859777266564897,0.8759575912507507,0.1335644391265231,0.1399044877203314,0.0143373094038023,0.0125559246389229,-0.010020135405738984,-0.0017813847648793998,0.006340048593808295,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,4,20260732,logistic_regression,0.8806960811884671,0.8741675860867679,0.1361101207754131,0.1404911567469736,0.0121543209326256,0.0105580497544272,-0.006528495101699172,-0.0015962711781984003,0.004381035971560504,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,5,20260733,lightgbm,0.889069836242693,0.8764847326335349,0.130890847655678,0.1398176910673295,0.0121179520039655,0.0156648778022835,-0.0125851036091581,0.0035469257983180014,0.008926843411651508,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,5,20260733,logistic_regression,0.8852062485265558,0.8743386944070607,0.1329366323531368,0.1404480046483745,0.0134654470367208,0.0137600323698947,-0.010867554119495137,0.0002945853331738999,0.0075113722952377115,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,6,20260734,lightgbm,0.8907387900372609,0.8767531463798945,0.1298294397602923,0.1394692688431341,0.0123763406041494,0.0133276532788547,-0.01398564365736632,0.0009513126747052996,0.009639829082841805,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,6,20260734,logistic_regression,0.8878463885192045,0.8747761900934414,0.1311126630750779,0.1401390038303473,0.015332756888358,0.0145544226439474,-0.013070198425763069,-0.0007783342444105997,0.009026340755269396,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,7,20260735,lightgbm,0.8880331603059108,0.8767664070464899,0.1315675685376207,0.1395977036652524,0.012152021403106,0.0152328232679819,-0.011266753259420947,0.0030808018648758994,0.008030135127631705,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,7,20260735,logistic_regression,0.8849050496173921,0.8751674565352235,0.1330465747901107,0.140033223578482,0.0148590603229153,0.0156056057067811,-0.009737593082168594,0.0007465453838657998,0.006986648788371297,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,8,20260736,lightgbm,0.8851891045915227,0.8768546229452328,0.1332751399139445,0.1395051018126628,0.0122098179602074,0.015013969037269,-0.008334481646289915,0.0028041510770616014,0.0062299618987183,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,8,20260736,logistic_regression,0.8797272610638391,0.8743475148078742,0.1363423958569405,0.140371444271921,0.0102298460212169,0.0110694322302193,-0.0053797462559649345,0.0008395862090024003,0.004029048414980502,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,9,20260737,lightgbm,0.8879895495834798,0.8765492692439427,0.1316389285046962,0.1397171088653264,0.0122040201177887,0.015905487886899,-0.011440280339537034,0.0037014677691103014,0.00807818036063021,ACS|cpi_constant_2018usd
ACS,cpi_constant_2018usd,9,20260737,logistic_regression,0.8838567249662772,0.8741772674612861,0.1337541718432,0.1405582499264352,0.0123756095000651,0.0130583335116544,-0.009679457504991107,0.0006827240115892998,0.0068040780832352155,ACS|cpi_constant_2018usd
ACS,survey_year_adjusted_50000,0,20260728,lightgbm,0.8912831448679799,0.8774021865060251,0.1297401796877418,0.1556043612136224,0.0153322826916563,0.1028492399026273,-0.013880958361954798,0.087516957210971,0.025864181525880603,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,0,20260728,logistic_regression,0.8886304558915097,0.8725323103913255,0.1311920980313515,0.1578013413115159,0.020648404033412,0.1012477452504389,-0.01609814550018418,0.0805993412170269,0.026609243280164396,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,1,20260729,lightgbm,0.8851362594308623,0.877085290728738,0.1331899882632042,0.157162720396912,0.0134067451517762,0.104761605522972,-0.008050968702124295,0.0913548603711958,0.02397273213370782,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,1,20260729,logistic_regression,0.8782459426129786,0.8721639865442206,0.1366195083636014,0.1587239610504625,0.0133790917714159,0.1020077658603676,-0.006081956068758054,0.0886286740889517,0.022104452686861092,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,2,20260730,lightgbm,0.885941140149989,0.8761889251912013,0.132910170184737,0.157209345713225,0.0148488956553598,0.1056895713069603,-0.009752214958787753,0.0908406756516005,0.02429917552848801,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,2,20260730,logistic_regression,0.8819552880123256,0.8726010852203936,0.1348514512615455,0.1583152835643373,0.0123606256300741,0.1031373353590282,-0.009354202791931998,0.0907767097289541,0.02346383230279181,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,3,20260731,lightgbm,0.8861405626797223,0.877259665206506,0.1324803360796241,0.1545999292112042,0.0128208647143912,0.0974474330469678,-0.008880897473216298,0.0846265683325766,0.0221195931315801,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,3,20260731,logistic_regression,0.8808143925146019,0.872810680860347,0.1356288207601602,0.1569832768727938,0.009616096110426,0.0981739511738747,-0.008003711654254952,0.08855785506344871,0.02135445611263359,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,4,20260732,lightgbm,0.8859777266564897,0.8765888674370509,0.1335644391265231,0.1572073314736007,0.0143373094038023,0.1063832601486713,-0.009388859219438772,0.092045950744869,0.023642892347077588,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,4,20260732,logistic_regression,0.8806960811884671,0.8720531024381534,0.1361101207754131,0.1587875536647194,0.0121543209326256,0.1032744330672497,-0.008642978750313723,0.0911201121346241,0.022677432889306293,ACS|survey_year_adjusted_50000
