repeat,rank,feature_code,feature_name,mutual_information
6,6,hoehe,credit amount,0.013073295768411208
6,7,beszeit,employment duration,0.010130878051085368
6,8,wohn,housing,0.008934675231319467
6,9,verm,property,0.008498271240374139
6,10,rate,installment rate,0.0051500521295353985
6,11,gastarb,foreign-worker status,0.004876969656337854
6,12,weitkred,other installment plans,0.003738607869591404
6,13,bishkred,number of existing credits,0.0034127463117394913
6,14,buerge,other debtors or guarantors,0.0032457775517312493
6,15,beruf,job,0.0030894514736809556
6,16,famges,personal status and sex,0.0011228465540984722
6,17,telef,telephone,0.0008664640088826003
6,18,wohnzeit,present residence duration,0.0008218892745408823
6,19,pers,people liable,0.0005333971475582899
6,20,alter,age,0.0
7,1,laufkont,checking-account status,0.05813582170317711
7,2,moral,credit history,0.035509725797824396
7,3,laufzeit,duration,0.029694892118928395
7,4,verw,purpose,0.01735775060899006
7,5,sparkont,savings status,0.016304199308886894
7,6,verm,property,0.012621179003012989
7,7,wohn,housing,0.00938037477515713
7,8,beszeit,employment duration,0.008181668817500154
7,9,weitkred,other installment plans,0.007870089443065137
7,10,buerge,other debtors or guarantors,0.0030170008502689583
7,11,bishkred,number of existing credits,0.002258012513469961
7,12,gastarb,foreign-worker status,0.002096727589044955
7,13,famges,personal status and sex,0.002064436747691384
7,14,hoehe,credit amount,0.0015098151527754844
7,15,rate,installment rate,0.0014076313741384627
7,16,wohnzeit,present residence duration,0.0013136944719392696
7,17,beruf,job,0.000997661254677193
7,18,pers,people liable,0.0002573667622347009
7,19,telef,telephone,3.307063719587555e-05
7,20,alter,age,0.0
8,1,laufkont,checking-account status,0.04946649517509326
8,2,laufzeit,duration,0.04774076302080421
8,3,hoehe,credit amount,0.039775826607879594
8,4,moral,credit history,0.027612295395183964
8,5,verw,purpose,0.021288763646575493
8,6,sparkont,savings status,0.020532944415812604
8,7,beszeit,employment duration,0.015696345639995238
8,8,famges,personal status and sex,0.011714803972285623
8,9,verm,property,0.011631072326321157
8,10,wohn,housing,0.006475661665762467
8,11,buerge,other debtors or guarantors,0.0063819089894711425
8,12,gastarb,foreign-worker status,0.0056247853887717095
8,13,weitkred,other installment plans,0.005004399814169516
8,14,bishkred,number of existing credits,0.0034926488370960185
8,15,wohnzeit,present residence duration,0.001955700665370902
8,16,beruf,job,0.0015849941427513517
8,17,rate,installment rate,0.0013163031183739543
8,18,telef,telephone,0.001099043175309733
8,19,pers,people liable,0.0001744731765870866
8,20,alter,age,0.0
9,1,laufkont,checking-account status,0.06659234654170351
9,2,moral,credit history,0.04550600933240538
9,3,laufzeit,duration,0.03432083234935579
9,4,hoehe,credit amount,0.024694864805191452
9,5,sparkont,savings status,0.021464203353021648
9,6,wohn,housing,0.01887142152463686
9,7,verm,property,0.015530308177519492
9,8,beszeit,employment duration,0.014540271311161465
9,9,verw,purpose,0.011927179239870023
9,10,weitkred,other installment plans,0.006793212337596638
9,11,famges,personal status and sex,0.005101156796377432
9,12,bishkred,number of existing credits,0.004449263847793011
9,13,beruf,job,0.0035108422892495272
9,14,gastarb,foreign-worker status,0.0017690344692111865
9,15,buerge,other debtors or guarantors,0.0016545720200379227
9,16,rate,installment rate,0.0015268763825254383
9,17,wohnzeit,present residence duration,0.0003313757248748356
9,18,telef,telephone,0.00010869327296014752
9,19,pers,people liable,5.337991728637803e-07
9,20,alter,age,0.0
