cohort_repeat,seed,target_definition,model,mapping,domain,n,weight_sum,prevalence,auroc,average_precision,pr_skill,brier,log_loss,ece,calibration_intercept,calibration_slope,calibration_fit_iterations,hcep_080,hcep_090,hcep_095,aurc,excess_aurc
0,20267728,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1577107.0,0.3623691987924725,0.8842087209980942,0.8074426367179133,0.6980111956363668,0.1312853159998634,0.4087443427588688,0.0130963610803995,-0.0081408331209113,1.0244139599878537,9,0.0432310553437401,0.0154047886414808,0.0045507375212969,0.0744661722972355,0.0559354271976678
0,20267728,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7983478.0,0.4797654606175404,0.8745223053979269,0.8521215358505593,0.7157465470766728,0.1573329472942521,0.4815862440902718,0.1022445288887047,0.7001904456698109,0.9578516659704208,11,0.065791751414609,0.0272478987228373,0.0099151021647457,0.1099524727718591,0.0818484066130676
0,20267728,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1577107.0,0.3916557342019279,0.884232091426439,0.8223151731565659,0.7079206021440283,0.1339497298867006,0.4168870923131032,0.0132247189732245,-0.0399597019978483,1.0270294599599654,9,0.0445962131928905,0.0146654602382717,0.0048328997334993,0.0785973665974906,0.0593983005146304
0,20267728,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7983478.0,0.5079535510713501,0.8732893573206066,0.8629684449720264,0.7215068712997782,0.1564336891255258,0.480395228081822,0.0983818558304026,0.6606441692210993,0.9502755326402296,11,0.0647216664215771,0.0252505236439556,0.0092848004340965,0.1112153658415929,0.0837356406684319
0,20267728,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1577107.0,0.3916557342019279,0.884232091426439,0.8223151731565659,0.7079206021440283,0.1339497298867006,0.4168870923131032,0.0132247189732245,-0.0399597019978483,1.0270294599599654,9,0.0445962131928905,0.0146654602382717,0.0048328997334993,0.0785973665974906,0.0593983005146304
0,20267728,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7983478.0,0.3972589390238189,0.8765695887442901,0.807477174123605,0.6805878372304835,0.1392415818368384,0.4315014107586928,0.014216709694287,-0.0989627839602621,0.9885940881449458,6,0.0474819370705349,0.0161806671227753,0.0053491723782541,0.0858628530592899,0.0643813443347469
1,20268231,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1567070.0,0.355106025895461,0.8839550632519957,0.8017532486151039,0.6925901631191862,0.1309337798431569,0.4069782461171578,0.0112848606843285,-0.0628475882642664,1.008536962864674,9,0.0427141097717396,0.0143216320904618,0.0052346098132182,0.0734950325125583,0.0541201635277678
1,20268231,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7948403.0,0.481240948653459,0.8744683156356772,0.8547115493770963,0.719930765071416,0.1556985785735142,0.4778965522367064,0.0963180495629426,0.6580112439309875,0.9441721961995032,11,0.0658616579959521,0.0267097679873554,0.0100699473843991,0.1081631553482568,0.0810110122693407
1,20268231,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1567070.0,0.3824430306240308,0.8835326698386925,0.8155360249731627,0.7013004723868066,0.1339023193699648,0.4157859475538327,0.0122260043553205,-0.0670572745276324,1.0033239911447167,10,0.0446202147957653,0.0146043252694519,0.0058114825757624,0.0778301994949643,0.0584139574907031
1,20268231,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7948403.0,0.5107236007031852,0.8738016705356297,0.8673481632320081,0.7288815954363662,0.1561995921081189,0.4794145274535066,0.0971758682432765,0.6628087693906742,0.9362113976608628,11,0.0657918326486465,0.0264406573244965,0.0090510005594834,0.1099367469583451,0.0828487861717124
