condition,auroc_mean,auroc_sd,average_precision_mean,average_precision_sd,brier_mean,brier_sd,log_loss_mean,log_loss_sd,ece_mean,ece_sd,hcep_090_mean,hcep_090_sd,aurc_mean,aurc_sd,excess_aurc_mean,excess_aurc_sd,marginal_coverage_mean,marginal_coverage_sd,marginal_class0_coverage_mean,marginal_class0_coverage_sd,marginal_class1_coverage_mean,marginal_class1_coverage_sd,marginal_avg_set_size_mean,marginal_avg_set_size_sd,marginal_singleton_rate_mean,marginal_singleton_rate_sd,label_conditional_coverage_mean,label_conditional_coverage_sd,label_conditional_class0_coverage_mean,label_conditional_class0_coverage_sd,label_conditional_class1_coverage_mean,label_conditional_class1_coverage_sd,label_conditional_avg_set_size_mean,label_conditional_avg_set_size_sd,label_conditional_singleton_rate_mean,label_conditional_singleton_rate_sd
clean,0.7837142857142857,0.048421809892902255,0.6255457472948958,0.0708058230871034,0.16555834374201903,0.016359553527314993,0.5023507399197273,0.04346326148200455,0.08949119967616735,0.02126687570708541,0.013333333333333308,0.013679711361135383,0.12681725069035185,0.02971298084503491,0.09322474968411569,0.023515112951786512,0.9003333333333332,0.039379693166886505,0.9790476190476189,0.015633955841297578,0.7166666666666666,0.11096481597049498,1.3720000000000003,0.08183852307837132,0.628,0.08183852307837138,0.898,0.048611119465329276,0.9004761904761904,0.04909735415464133,0.8922222222222222,0.0856955640310914,1.4816666666666665,0.1291243563980269,0.5183333333333332,0.12912435639802694
fixed_count_mcar_like_three_cells_per_record,0.7667936507936508,0.04972257427681231,0.6007316125524361,0.07054098351108391,0.17096350544871114,0.01599384016462764,0.5186608592145718,0.04405628997344569,0.08211763066784919,0.020911274860830498,0.01799999999999998,0.018109478633419274,0.13897105946388685,0.03022280915349008,0.10132377655051479,0.024437020801060607,0.8873333333333331,0.039759510981025564,0.9871428571428572,0.014252258234434285,0.6544444444444444,0.12414228144707584,1.3456666666666666,0.08414065083422527,0.6543333333333334,0.08414065083422528,0.9103333333333332,0.050051435532164394,0.9271428571428573,0.042622582847174684,0.8711111111111111,0.10537226314432059,1.5086666666666666,0.13729381138010135,0.4913333333333333,0.1372938113801014
label_informed_oracle_adversarial,0.6934391534391533,0.05772091254440718,0.5153933557208319,0.06963947418533242,0.1939614847319154,0.017649705414704533,0.5781194612910155,0.04961063982084937,0.11372626202842526,0.030006476933918873,0.02199999999999997,0.01899214980948615,0.186921997866384,0.03765924612008776,0.14074831754982298,0.030114154565139536,0.8693333333333332,0.04455891690810483,0.9666666666666666,0.026490647141300835,0.6422222222222221,0.12190815575893932,1.394,0.086920007589152,0.606,0.08692000758915203,0.8673333333333332,0.049412927730509794,0.8738095238095239,0.04368457719014958,0.8522222222222222,0.1040505200431385,1.518333333333333,0.11791314079410245,0.48166666666666663,0.11791314079410244
measurement_and_category_error,0.7067513227513228,0.057698726858577694,0.5282230278801211,0.06748689164398469,0.19067290777958734,0.0186167800822152,0.5755737427180458,0.059066580952501634,0.10491872619456637,0.032640443570497134,0.027666666666666624,0.02570866920932742,0.17234660965527288,0.03371492801404504,0.12819231022063254,0.02685817125371005,0.859,0.044447222135422106,0.9733333333333334,0.01968846759036383,0.5922222222222222,0.11983853117531112,1.341,0.08717194140559825,0.659,0.08717194140559824,0.8786666666666665,0.049682029885736875,0.9028571428571428,0.04949681161154521,0.8222222222222222,0.10423146132940954,1.5010000000000001,0.11768279299065715,0.499,0.11768279299065719
random_three_features,0.7654185185185185,0.049382873431438795,0.598242549901518,0.06980372566566827,0.17469104152943246,0.018120445256279365,0.5283425267856902,0.05413863615320265,0.10184336873852308,0.028800020858047653,0.019699999999999968,0.023692051055322752,0.14091417701819314,0.031486670563541104,0.1042702235118373,0.025634685810053275,0.8861666666666665,0.05335395382490085,0.985952380952381,0.01814141005424608,0.6533333333333334,0.1791232847774924,1.35665,0.11924388049441444,0.6433500000000001,0.11924388049441445,0.9039166666666667,0.048981765087177255,0.9201666666666668,0.059279920450069266,0.8660000000000001,0.11666774077557826,1.5112,0.13156176462576535,0.4888,0.13156176462576535
targeted_top3,0.695047619047619,0.05495635918404352,0.531084004305095,0.07459858155891562,0.20183345355628482,0.013807476051954412,0.6119781182039071,0.056140887924809216,0.12587202109821352,0.03191448482300608,0.044666666666666625,0.037594325812991145,0.19161581328009958,0.027999069279026716,0.1459288552504368,0.027998776842101523,0.7996666666666667,0.04910782979697251,1.0,0.0,0.33222222222222214,0.16369276598990837,1.1853333333333336,0.11292185363887616,0.8146666666666667,0.11292185363887615,0.9096666666666666,0.05482454736841927,0.9952380952380953,0.007246532478597031,0.71,0.1801703042443842,1.5270000000000001,0.19722608512813602,0.47300000000000003,0.19722608512813602
