horizon_day,pair,source_n,source_prevalence,target_n,target_prevalence,auroc_mean,auroc_sd,average_precision_mean,average_precision_sd,brier_mean,brier_sd,log_loss_mean,log_loss_sd,ece_mean,ece_sd,aurc_mean,aurc_sd,marginal_coverage_mean,marginal_coverage_sd,marginal_class0_coverage_mean,marginal_class0_coverage_sd,marginal_class1_coverage_mean,marginal_class1_coverage_sd,marginal_avg_set_size_mean,marginal_avg_set_size_sd,marginal_singleton_rate_mean,marginal_singleton_rate_sd,marginal_singleton_accuracy_mean,marginal_singleton_accuracy_sd,label_conditional_coverage_mean,label_conditional_coverage_sd,label_conditional_class0_coverage_mean,label_conditional_class0_coverage_sd,label_conditional_class1_coverage_mean,label_conditional_class1_coverage_sd,label_conditional_avg_set_size_mean,label_conditional_avg_set_size_sd,label_conditional_singleton_rate_mean,label_conditional_singleton_rate_sd,label_conditional_singleton_accuracy_mean,label_conditional_singleton_accuracy_sd
14,AAA-J,370,0.2486486486486486,318,0.2578616352201258,0.5684993799090534,0.05193179810189828,0.3429999415118239,0.04403297434300124,0.1903729243896903,0.0052313328606850016,0.5693335838776428,0.014285470527132993,0.04574058222447025,0.02808367094108549,0.22124779881478926,0.03664742826704416,0.9223270440251572,0.047576860052300794,0.9991525423728813,0.0017865975481177237,0.7012195121951219,0.18272346419233781,1.6446540880503147,0.18366861833108789,0.35534591194968546,0.18366861833108794,0.7823994299475067,0.054541225819366726,0.9172955974842767,0.038056233693597286,0.9266949152542374,0.03939893204973513,0.8902439024390244,0.09516016187576928,1.7544025157232706,0.13005044700914334,0.24559748427672953,0.1300504470091434,0.613707909094903,0.1642848063429041
14,BBB-B,1606,0.5006226650062267,1257,0.4272076372315035,0.6941759776536314,0.006009292477233108,0.6322773167889497,0.006613615910399047,0.22487812475881125,0.0055196126895758835,0.6467563198407142,0.01634143939125951,0.08483686003927701,0.021582849631213555,0.27958704267050427,0.011705709115860517,0.8688146380270485,0.03755191261490419,0.8755555555555554,0.03142833204084627,0.8597765363128491,0.05503240534385828,1.5373110580747813,0.10837607734804983,0.4626889419252188,0.10837607734804983,0.7193215227176719,0.01716276870287853,0.8635640413683374,0.0391199111427524,0.8640277777777777,0.042220851585940064,0.8629422718808195,0.05778615852536367,1.5249801113762929,0.10565846605403881,0.47501988862370725,0.10565846605403885,0.7160884176417435,0.019999062873517083
14,BBB-J,1851,0.4219340896812534,1760,0.3585227272727272,0.6426028110651475,0.01309398119259021,0.5049019129098362,0.01306039038955683,0.2254371827542041,0.010037419383282948,0.653565359838703,0.03408153399081243,0.08830850770594431,0.03826842306466447,0.26118128212763747,0.009816924157565483,0.787159090909091,0.0503725218249453,0.9797165633303807,0.010883749879918532,0.44263074484944537,0.13364308677699574,1.2889204545454542,0.12587995198047253,0.7110795454545455,0.1258799519804725,0.7044754051051416,0.024651681528340075,0.8061931818181819,0.055176048957480725,0.9528786536758191,0.018667427425598623,0.5437400950871633,0.15507248283518782,1.346818181818182,0.1461515614888183,0.6531818181818182,0.1461515614888183,0.7083307611140424,0.025238807915193572
14,DDD-B,1197,0.5747702589807853,1008,0.5337301587301587,0.6726283318832557,0.011828114904171965,0.707161739915877,0.010640932267970516,0.22707632672203704,0.0030061347000189587,0.6448421412956135,0.006759447595522574,0.04866281108325304,0.013996205530589105,0.2821897859231333,0.012261517417136606,0.8935515873015873,0.03145552290003883,0.8768085106382978,0.0423333565026807,0.90817843866171,0.04476600718859189,1.6136904761904762,0.08229437584375035,0.38630952380952377,0.08229437584375038,0.7285772618858252,0.02707226018760727,0.8818452380952382,0.048401335331979864,0.9257446808510638,0.04816903071835739,0.8434944237918216,0.093331668385847,1.611607142857143,0.1051111440200882,0.3883928571428571,0.10511114402008823,0.7047624221402369,0.041680149398696194
14,DDD-J,1675,0.5068656716417911,1381,0.445329471397538,0.7054675327432125,0.008175600718093761,0.6560262997826112,0.011408989048789652,0.21698599226236542,0.0035945579267254754,0.6252837608339339,0.00811652864967419,0.04501299745449708,0.014358058425900072,0.25591758903871004,0.013818609084296739,0.9154236060825488,0.022531176856003348,0.9327676240208878,0.03333600327437453,0.8938211382113821,0.016898925878450384,1.640622737146995,0.05673404388067396,0.35937726285300503,0.056734043880673976,0.7683742952511905,0.028843657980724583,0.9166545981173062,0.02120894327191603,0.9328981723237598,0.02993578827034963,0.8964227642276423,0.02925875584863903,1.645257060101376,0.054330941794141094,0.35474293989862415,0.054330941794141066,0.7681617752258718,0.024379717832869734
14,EEE-J,933,0.3483386923901393,1003,0.3240279162512463,0.7145159972770593,0.009280877873411718,0.5461240720941519,0.016315092064244693,0.19366800531204026,0.0040157894828685495,0.5725561404130505,0.009732487244022689,0.058116604878287584,0.01519049450732493,0.19188924402996335,0.01049387780962177,0.8982053838484546,0.0331819138951088,0.9753687315634219,0.012242776383154635,0.7372307692307694,0.09334122254625755,1.492023928215354,0.12329834395185978,0.507976071784646,0.1232983439518598,0.8036389007217535,0.022568880990620505,0.8900299102691923,0.04346382323312049,0.8957227138643067,0.047279765079361706,0.8781538461538462,0.08511213935517502,1.5738783649052839,0.1621182781458888,0.42612163509471584,0.1621182781458888,0.7367214553494588,0.06396667249412459
14,FFF-B,1520,0.4861842105263158,1264,0.495253164556962,0.7277724919126263,0.006362723677712353,0.7263360907938663,0.006176056673858961,0.2114235515568214,0.0011157203635624468,0.6099896993884671,0.0027138246352501876,0.04286756802340939,0.010191589623223573,0.22887865366397606,0.006764523027310188,0.8952531645569619,0.017804832291031237,0.9159874608150471,0.014744284159378881,0.8741214057507987,0.025266787745547293,1.5388449367088608,0.06060290683496443,0.4611550632911392,0.0606029068349644,0.7738494254355516,0.00981905881274574,0.8988132911392406,0.018730870115693982,0.9012539184952978,0.038122124027073566,0.8963258785942493,0.04016935785815624,1.5541930379746833,0.06399078177464457,0.44580696202531644,0.06399078177464457,0.7741521112553508,0.012342497542695516
14,FFF-J,1998,0.4519519519519519,1800,0.3927777777777778,0.7332169094572507,0.003974409393150489,0.637065349851196,0.006651910195988902,0.2013648728432043,0.001209463210850011,0.5892093882010311,0.002247925453327966,0.036095476178039654,0.006742860870070532,0.21059905146664493,0.0030601439382363016,0.9067222222222222,0.011931014557347063,0.9690759377859104,0.004372905966193311,0.8103253182461103,0.028767360576589976,1.5378888888888889,0.03705721672475497,0.46211111111111103,0.03705721672475497,0.7988073920120529,0.011436926249365887,0.9194444444444445,0.012947080216998853,0.9423604757548032,0.020863228272628324,0.884016973125884,0.03636786567784419,1.5950000000000002,0.04925299319655917,0.40499999999999997,0.04925299319655915,0.8016166655412205,0.0153178430674305
14,GGG-J,926,0.3606911447084233,717,0.3821478382147838,0.6104957901501046,0.08195057842201071,0.5092792597729198,0.06502186445725683,0.22579284352451845,0.005451555238843792,0.6441996449559034,0.011304709448312005,0.038768480350061904,0.01224273441927224,0.31184307114906396,0.06065304537497153,0.9132496513249653,0.024677391944262037,0.9972911963882618,0.00580895682938111,0.7773722627737226,0.05969753842523258,1.6973500697350068,0.09874503252952117,0.30264993026499304,0.09874503252952117,0.7008108278812346,0.1000169026362071,0.9172942817294281,0.02813355989064361,0.9232505643340858,0.035420924893724046,0.9076642335766423,0.027476147822342645,1.7552301255230127,0.07019297935958993,0.24476987447698742,0.07019297935958996,0.6566649118250655,0.11487694534884547
56,AAA-J,365,0.2383561643835616,315,0.2476190476190476,0.606150600454398,0.08653574794047689,0.3948007730389847,0.07456491172288758,0.17785894996449833,0.005664036147723317,0.5423987649214552,0.01643244307798101,0.05060402886891926,0.020527449003223643,0.2067601875659974,0.05459382048640486,0.9425396825396826,0.026495207580755943,1.0,0.0,0.7679487179487179,0.1069998767684375,1.6952380952380952,0.13644639932025007,0.30476190476190473,0.13644639932025013,0.8029030011018315,0.07298062600091938,0.8993650793650794,0.05370930718544479,0.8987341772151899,0.059339024218646924,0.9012820512820513,0.08924362156515735,1.757142857142857,0.15528717444775977,0.24285714285714283,0.1552871744477598,0.5387414033451686,0.13600065444104412
