heldout_site,domain,prevalence_mean,prevalence_sd,auroc_mean,auroc_sd,average_precision_mean,average_precision_sd,pr_skill_mean,pr_skill_sd,brier_mean,brier_sd,log_loss_mean,log_loss_sd,ece_mean,ece_sd,hcep_090_mean,hcep_090_sd,aurc_mean,aurc_sd,selection_rate_mean,selection_rate_sd,selective_risk_mean,selective_risk_sd
Cleveland,id_test,0.6129032258064517,1.1702778228589004e-16,0.8941520467836256,0.025484218080669335,0.9133222799062686,0.031233347281954562,0.7760825564245275,0.08068614714504933,0.1207001291092141,0.013201504975820552,0.39784207373029645,0.04289311776663605,0.11143209590439687,0.018928236609994126,0.022580645161290297,0.02177253411969523,0.07982814361921138,0.027943319722499388,0.8032258064516128,0.05389470236941072,0.10708122249741363,0.03651603202074947
Cleveland,ood_test,0.4587458745874587,0.0,0.7509957887348657,0.14070704869471112,0.7357068450143,0.13538141117933672,0.5117022807276395,0.2501254121179209,0.23004310083527582,0.08938494666325258,0.7624119271319997,0.3100919380592619,0.17599532695370262,0.1110206224974454,0.09603960396039604,0.07863208975525067,0.23616465370813522,0.14797538556187945,0.7623762376237623,0.10797903397308586,0.2747704867359327,0.13535255785022748
Hungary,id_test,0.6526315789473685,0.0,0.873069403714565,0.026669133835654026,0.9135318196505162,0.022285064429968363,0.7510764505090619,0.06415397335899994,0.1296392566098696,0.015043196645349496,0.4177571091301912,0.048340597266293805,0.1055587933670216,0.031130502630822454,0.029473684210526253,0.02616330088744878,0.08593272981308821,0.022013629588154532,0.7736842105263158,0.06826342616962709,0.11876512870628822,0.03364533777270251
Hungary,ood_test,0.36054421768707473,5.851389114294502e-17,0.8741368928141309,0.009137374519997753,0.8267947016768643,0.012664872083085104,0.7291363951755216,0.01980570421503735,0.1434502486145597,0.010713695952567341,0.4502112901802981,0.026729780624328143,0.11067850887800704,0.03550703704204923,0.0081632653061224,0.009098595305096978,0.09670010977132557,0.013849569194886809,0.7316326530612245,0.0889347202407032,0.12791990915490506,0.022862068238663567
Switzerland,id_test,0.49166666666666653,5.851389114294502e-17,0.8916921367046402,0.03352650134982874,0.8813904762893934,0.04390059211159575,0.7666697894217575,0.0863618205474015,0.1327109805178041,0.02138210761032267,0.4197451599484586,0.061585934546986056,0.0943449066524127,0.012502667110048674,0.0233333333333333,0.017916128329552326,0.08257110888000305,0.034076692348328295,0.7708333333333334,0.06727156132395738,0.12049935410319183,0.02574972423085414
Switzerland,ood_test,0.9349593495934961,1.1702778228589004e-16,0.7418478260869564,0.012522296854192346,0.9720101009242811,0.0028287059427508985,0.5696553017108188,0.04349135386979478,0.21292816426819366,0.031144172751170353,0.6232448994618822,0.08334627759707416,0.3340722602189278,0.046303584843800275,0.024390243902438997,0.023312534599031483,0.21742191010659268,0.06648239378894792,0.6780487804878049,0.04586275512478304,0.26817475136795793,0.0677691018408341
VA Long Beach,id_test,0.5,0.0,0.9079903978052126,0.02562628296109684,0.9143095135195335,0.025991463463006678,0.8286190270390671,0.05198292692601333,0.11758240490701896,0.016053447572031143,0.38811162705044994,0.04646452632333623,0.1003790292931374,0.015997434688859797,0.03240740740740737,0.0186466758851768,0.07045036205784828,0.020976217484114927,0.8157407407407407,0.06524694278004883,0.10621603183717185,0.031334169225263456
VA Long Beach,ood_test,0.745,0.0,0.7042505592841163,0.013798614027775609,0.8515978136411316,0.00980406291659498,0.4180306417299281,0.038447305555274425,0.19014801690273045,0.008921373265705771,0.5827600741109124,0.03319133827473508,0.13854442375354215,0.036338631373531945,0.042499999999999996,0.020982797186690282,0.17988977262305417,0.015017965760200041,0.734,0.0957659183170668,0.21556906042630314,0.021427614027564205
