target_definition,repeat,auroc_delta,average_precision_delta,brier_delta,log_loss_delta,ece_delta,calibration_intercept_delta,calibration_slope_delta,hcep_090_delta,aurc_delta
cpi_constant_2018usd,0,-0.013552761858817042,-0.014490937535751258,0.008849389646474498,0.02386539600781995,-0.0063601292282640005,-0.0967937796563439,-0.0853164618684501,0.0037126822255842008,0.012111259598215407
cpi_constant_2018usd,1,-0.003620358784355071,0.0017886672443545582,0.0037873157882777897,0.008994535972328688,0.0031657956199733998,-0.0684485543647827,-0.008889889734868484,-0.0014242417066404021,0.0039418705222727946
cpi_constant_2018usd,2,-0.006979749265974888,-0.004450098098193744,0.005168499221757911,0.013235671638778368,-0.0014806712933057003,-0.081135500311636,-0.03232152139755473,0.00021365776804389836,0.006191822926047211
cpi_constant_2018usd,3,-0.005761020008461681,-0.003195959078608479,0.004517193040625395,0.01413641611492128,0.0062084348053815,-0.08735245795882171,-0.020596619778008085,0.0017465989898232982,0.007486510681619804
cpi_constant_2018usd,4,-0.006528495101699172,-0.002571936915850559,0.004381035971560504,0.012564035887159986,-0.0015962711781984003,-0.0909124889468362,-0.025241828234903396,0.002070822433872601,0.006405904400420007
cpi_constant_2018usd,5,-0.010867554119495137,-0.013096253854605222,0.0075113722952377115,0.02063074469154408,0.0002945853331738999,-0.0835102074556982,-0.05216583295663879,0.0025080500225841997,0.009801617137486812
cpi_constant_2018usd,6,-0.013070198425763069,-0.01432338074151307,0.009026340755269396,0.02512571390666829,-0.0007783342444105997,-0.0651700184739944,-0.07154781833048851,0.002251046711561998,0.012532945161664297
cpi_constant_2018usd,7,-0.009737593082168594,-0.012524397642637686,0.006986648788371297,0.019698502316319588,0.0007465453838657998,-0.119593572737482,-0.045498237335085956,0.0023828533827899012,0.009675099445045188
cpi_constant_2018usd,8,-0.0053797462559649345,-0.004759100616627654,0.004029048414980502,0.01222545750550419,0.0008395862090024003,-0.07131940948342609,-0.02727036037636299,0.001849274339365898,0.0063016470009274045
cpi_constant_2018usd,9,-0.009679457504991107,-0.011046118562663576,0.0068040780832352155,0.019197745512142095,0.0006827240115892998,-0.1168938495674785,-0.045963183588766054,0.0019276862232094974,0.009515403074735196
survey_year_adjusted_50000,0,-0.01609814550018418,0.04305385670680384,0.026609243280164396,0.07337079833191368,0.0805993412170269,0.681793250280611,-0.12350870852777274,0.012973276295438102,0.03893676948185651
survey_year_adjusted_50000,1,-0.006081956068758054,0.058956297199947216,0.022104452686861092,0.06300842232942411,0.0886286740889517,0.7100813159963304,-0.0399819142008645,0.009420481960268297,0.0298645287689438
survey_year_adjusted_50000,2,-0.009354202791931998,0.05329057798177628,0.02346383230279181,0.0653306677442646,0.0907767097289541,0.6967328913930406,-0.06826768818999795,0.010506624220129997,0.03310958751330781
survey_year_adjusted_50000,3,-0.008003711654254952,0.05484576963777066,0.02135445611263359,0.06321975512556766,0.08855785506344871,0.6932332369922878,-0.05477131244817324,0.0118872789502588,0.03238261378004001
survey_year_adjusted_50000,4,-0.008642978750313723,0.055790152622776756,0.022677432889306293,0.0649915154849785,0.0911201121346241,0.6868577451284125,-0.05753455551351683,0.0121584896911392,0.033226433873807595
survey_year_adjusted_50000,5,-0.01311191122383526,0.04547941583833659,0.025912308224859792,0.074482432951954,0.0894361707902445,0.6941225423650589,-0.08465521970987944,0.013681102365251802,0.03639488286609731
survey_year_adjusted_50000,6,-0.015620778223959242,0.043532261592930444,0.02675824182075498,0.0755692755791394,0.0856109447982769,0.7127467227052389,-0.10772016425805475,0.012536511366029799,0.0391895586966409
survey_year_adjusted_50000,7,-0.012099796859018297,0.04506233911041757,0.02406252370499129,0.06960385349685749,0.0837750628750484,0.6605478159886218,-0.08122656609352896,0.012879368610251303,0.0348702343224923
survey_year_adjusted_50000,8,-0.007622327983612731,0.05324680290244421,0.022798958993539703,0.0670806940891493,0.0948148947388244,0.7052264641610029,-0.06240168691119963,0.012778518259440198,0.033931817641562
survey_year_adjusted_50000,9,-0.011803577908924945,0.0474008591848033,0.024495216301661404,0.07035919629718002,0.0889001710734932,0.6610605637543202,-0.07872687960438651,0.0122536605848159,0.0354886217111338
unadjusted_reported_income_50000,0,-0.013131440840759678,0.04987518108141242,0.026522030608214203,0.07411299572185753,0.0820730752332218,0.6637154747162317,-0.09663921517194773,0.012003430162375801,0.0378014519226197
unadjusted_reported_income_50000,1,-0.00908864337626436,0.060088603644846694,0.02609505802373549,0.07404931762256778,0.0855368775283146,0.695337548046648,-0.05430493317145657,0.0108904438527304,0.034364923671839506
