key,value,value_json
acs/unadjusted_reported_income_50000/ood_test/aurc/sd,0.0005120801359570913,
acs/unadjusted_reported_income_50000/ood_test/excess_aurc/mean,0.08213478901472873,
acs/unadjusted_reported_income_50000/ood_test/excess_aurc/sd,0.0004364725442067603,
acs/unadjusted_reported_income_50000/ood_test/selection_080/selection_rate/mean,0.7897517942737029,
acs/unadjusted_reported_income_50000/ood_test/selection_080/selection_rate/sd,0.007014079968132716,
acs/unadjusted_reported_income_50000/ood_test/selection_080/selective_risk/mean,0.17383178684797468,
acs/unadjusted_reported_income_50000/ood_test/selection_080/selective_risk/sd,0.002240749312389437,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/coverage/mean,0.8691252766444159,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/coverage/sd,0.004188492938522904,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/class0_coverage/mean,0.9476606296542176,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/class0_coverage/sd,0.0021433719872455447,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/class1_coverage/mean,0.7838565138193658,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/class1_coverage/sd,0.006788081454242608,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/avg_set_size/mean,1.2279517104286115,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/avg_set_size/sd,0.011411656862312158,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/singleton_rate/mean,0.7720482895713886,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/singleton_rate/sd,0.01141165686231219,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/singleton_accuracy/mean,0.8305211236313212,
acs/unadjusted_reported_income_50000/ood_test/conformal_marginal/singleton_accuracy/sd,0.0030286478688168477,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/coverage/mean,0.8851947022805339,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/coverage/sd,0.003770267708453754,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/class0_coverage/mean,0.9288086163613254,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/class0_coverage/sd,0.0026296519168864272,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/class1_coverage/mean,0.8378414485788162,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/class1_coverage/sd,0.007446147160013305,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/avg_set_size/mean,1.2405917017865407,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/avg_set_size/sd,0.009069899548259297,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/singleton_rate/mean,0.7594082982134593,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/singleton_rate/sd,0.00906989954825925,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/singleton_accuracy/mean,0.8488538833807453,
acs/unadjusted_reported_income_50000/ood_test/conformal_label_conditional/singleton_accuracy/sd,0.003268470872165763,
acs/survey_year_adjusted_50000/id_test/prevalence/mean,0.3844326127444545,
acs/survey_year_adjusted_50000/id_test/prevalence/sd,0.0023012165427017946,
acs/survey_year_adjusted_50000/id_test/auroc/mean,0.8831883832913151,
acs/survey_year_adjusted_50000/id_test/auroc/sd,0.0034729683708649354,
acs/survey_year_adjusted_50000/id_test/average_precision/mean,0.8152001694907771,
acs/survey_year_adjusted_50000/id_test/average_precision/sd,0.00567023781523546,
acs/survey_year_adjusted_50000/id_test/pr_skill/mean,0.6997819281696429,
acs/survey_year_adjusted_50000/id_test/pr_skill/sd,0.009405843036778015,
acs/survey_year_adjusted_50000/id_test/brier/mean,0.13415944371105376,
acs/survey_year_adjusted_50000/id_test/brier/sd,0.0020614527052400075,
acs/survey_year_adjusted_50000/id_test/log_loss/mean,0.4166031294879275,
acs/survey_year_adjusted_50000/id_test/log_loss/sd,0.0057000275792812695,
acs/survey_year_adjusted_50000/id_test/ece/mean,0.01344212582472297,
acs/survey_year_adjusted_50000/id_test/ece/sd,0.0030991027030304284,
acs/survey_year_adjusted_50000/id_test/calibration_intercept/mean,-0.004198282753838591,
acs/survey_year_adjusted_50000/id_test/calibration_intercept/sd,0.018962863355320464,
acs/survey_year_adjusted_50000/id_test/calibration_slope/mean,1.003794624849099,
acs/survey_year_adjusted_50000/id_test/calibration_slope/sd,0.05386121932720991,
acs/survey_year_adjusted_50000/id_test/hcep_090/mean,0.016068057845229838,
acs/survey_year_adjusted_50000/id_test/hcep_090/sd,0.002909473581230761,
acs/survey_year_adjusted_50000/id_test/aurc/mean,0.07796411497097912,
acs/survey_year_adjusted_50000/id_test/aurc/sd,0.0028116277216392433,
acs/survey_year_adjusted_50000/id_test/excess_aurc/mean,0.05832958297158012,
acs/survey_year_adjusted_50000/id_test/excess_aurc/sd,0.002089048940486223,
acs/survey_year_adjusted_50000/id_test/selection_080/selection_rate/mean,0.7999292843261679,
acs/survey_year_adjusted_50000/id_test/selection_080/selection_rate/sd,0.005913575872942534,
acs/survey_year_adjusted_50000/id_test/selection_080/selective_risk/mean,0.13536063212016894,
acs/survey_year_adjusted_50000/id_test/selection_080/selective_risk/sd,0.003983353734799395,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/coverage/mean,0.9008008087645301,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/coverage/sd,0.003492122600497984,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/class0_coverage/mean,0.9298297968159638,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/class0_coverage/sd,0.0024894080519362615,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/class1_coverage/mean,0.8543241707264289,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/class1_coverage/sd,0.006426940966254236,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/avg_set_size/mean,1.226953559987819,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/avg_set_size/sd,0.00742681761014133,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/singleton_rate/mean,0.773046440012181,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/singleton_rate/sd,0.0074268176101413095,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/singleton_accuracy/mean,0.8716908344338392,
acs/survey_year_adjusted_50000/id_test/conformal_marginal/singleton_accuracy/sd,0.0038986756483764687,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/coverage/mean,0.9011217277625878,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/coverage/sd,0.0034058025720256646,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/class0_coverage/mean,0.9138759434517096,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/class0_coverage/sd,0.0052500698443733815,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/class1_coverage/mean,0.8807244424777254,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/class1_coverage/sd,0.00729711456876023,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/avg_set_size/mean,1.2338368091488747,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/avg_set_size/sd,0.008615673225854216,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/singleton_rate/mean,0.7661631908511252,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/singleton_rate/sd,0.008615673225854263,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/singleton_accuracy/mean,0.8709447862755395,
acs/survey_year_adjusted_50000/id_test/conformal_label_conditional/singleton_accuracy/sd,0.004175770972887843,
acs/survey_year_adjusted_50000/ood_test/prevalence/mean,0.5095089660859984,
acs/survey_year_adjusted_50000/ood_test/prevalence/sd,0.0,
acs/survey_year_adjusted_50000/ood_test/auroc/mean,0.8723444445948358,
acs/survey_year_adjusted_50000/ood_test/auroc/sd,0.0003104153161730932,
acs/survey_year_adjusted_50000/ood_test/average_precision/mean,0.8652660027685778,
acs/survey_year_adjusted_50000/ood_test/average_precision/sd,0.0004504865445494576,
acs/survey_year_adjusted_50000/ood_test/pr_skill/mean,0.7253079303891101,
acs/survey_year_adjusted_50000/ood_test/pr_skill/sd,0.0009184399171472672,
acs/survey_year_adjusted_50000/ood_test/brier/mean,0.1581831103428102,
acs/survey_year_adjusted_50000/ood_test/brier/sd,0.0007361776508604118,
acs/survey_year_adjusted_50000/ood_test/log_loss/mean,0.4853047906309704,
acs/survey_year_adjusted_50000/ood_test/log_loss/sd,0.0024951164122865646,
acs/survey_year_adjusted_50000/ood_test/ece/mean,0.10166411947561227,
acs/survey_year_adjusted_50000/ood_test/ece/sd,0.002109420636219625,
acs/survey_year_adjusted_50000/ood_test/calibration_intercept/mean,0.686041972122654,
acs/survey_year_adjusted_50000/ood_test/calibration_intercept/sd,0.013894096495931872,
